coin,cur.price,cur.cap,time,mean.vol,down.risk,mean.return,mean.diff,high,mean.price,var
ADA,-2.51947325,21.45907794,6.396929655,18.64003083,0.046872163,0.006246852,-3.855778875,0.285178942,-2.184164363,-4.219240912
ATOM,1.486139696,20.55335405,4.262679877,18.14389005,0.073496338,-0.00214212,-0.516862327,2.117459609,1.460921129,-1.332977605
BCG,3.166318574,19.84492337,6.359573869,17.58329319,0.052027271,0.00072667,2.431093746,6.234038107,3.470178341,7.626505227
BCH,6.008174161,22.70300612,6.507277712,20.48863974,0.05214494,0.003808844,4.490990468,8.379222244,6.318462144,12.49551498
BNB,3.556775613,22.3223784,6.50578406,18.16891058,0.046648392,0.012779632,-0.152901292,3.564732461,2.488209317,3.643972982
BSV,4.530877581,21.22549039,5.283203729,18.68835541,0.061307234,0.008040691,2.245346462,5.496266179,4.239731412,5.250398907
BTC,8.993742849,25.68406774,7.704361168,21.61351966,0.028714825,0.002779751,5.00488093,9.907927681,8.244365949,16.440022
BTX,-0.065097611,16.58797008,6.629363253,13.52387775,0.077295725,0.007966988,0.23110553,3.879912952,1.367319836,3.918214115
DASH,5.050624942,21.04384054,7.563200592,17.90380538,0.042730817,0.006631656,2.445142709,7.403804264,5.207837136,10.93892219
DOGE,-5.812147499,19.69565245,7.594381243,15.95345726,0.04396568,0.004532816,-8.784385743,-3.975335612,-6.160460316,-12.25103329
EOS,1.854734268,22.48660624,6.539585956,20.5555378,0.050196671,0.004730221,-0.5191841,3.130700134,1.74267427,2.487150515
ETC,1.987874348,20.51070559,6.942156706,19.05824346,0.045814514,0.006353893,0.129924138,3.866397827,2.494544682,4.330378775
ETH,5.528476253,24.00950445,7.23489842,21.03015007,0.043886539,0.005925083,2.820956474,7.267441684,5.636108575,11.1584683
HT,1.193922468,18.9223563,6.163314804,17.63125336,0.03583166,0.003532006,-1.69931826,1.808288771,0.696921352,-0.178819499
IOTA,-0.954886041,20.79066191,6.56667243,17.96240293,0.052952868,0.002840171,-2.029665732,1.738710248,-0.226487202,-0.416961793
LTC,4.631519961,22.5731313,7.70391021,19.51481812,0.037958502,0.003727513,1.104398044,5.92769906,3.910762608,8.208419883
MKR,6.562712419,20.37822451,6.74051936,14.04866025,0.041632274,0.023198305,4.179147317,7.480947066,6.399356058,10.47504347
NANO,0.512823626,19.21968986,6.695798917,16.23277906,0.0612286,0.013223391,-0.57108944,3.627535824,1.112521731,2.992438259
NEO,2.440606391,20.43050636,6.895682698,18.64064008,0.054125338,0.007961932,1.157574236,5.282442017,3.376746585,6.996318091
ONT,0.300104592,20.32288473,6.09356977,17.94510315,0.051822916,0.001652932,-1.243793338,2.414126468,0.495126662,0.838176087
REP,2.970414466,19.1838148,7.17395832,15.5666548,0.053315032,0.006110104,0.867127325,4.814133674,3.124258854,5.716736778
STEEM,-0.934582002,18.6394415,7.030857476,15.62080546,0.058560717,0.005317831,-1.696744786,2.148267733,0.2233284,0.488953904
TRX,-3.572519653,21.35068049,6.428105273,19.45537188,0.056004339,0.010616888,-5.413597891,-1.202763536,-3.509620386,-8.02078206
XEM,-2.483196114,20.43728876,7.323170718,16.37696644,0.046957657,0.00774725,-4.129663627,0.737164066,-1.792433772,-2.828267023
XIN,5.307177995,18.31192014,6.216606101,12.6937083,0.054670293,-0.001401606,4.142393276,7.778043956,5.421216003,10.86488259
XLM,-2.072895017,21.61042409,7.469654173,17.65964308,0.043323718,0.005531351,-4.758885415,-0.063851824,-2.120043585,-3.939877105
XMR,4.46579317,21.1147228,7.512071246,17.07036618,0.044398603,0.00490448,1.684036534,6.206253294,4.419109573,9.067335012
XRP,-0.949227232,23.51448196,7.658699558,19.43574241,0.041351258,0.005053882,-3.956288126,1.345472367,-1.257692717,-1.937755989
USDT,0,21.84433231,7.340186835,21.28028373,0.003929427,1.64E-05,-4.530961885,0.19062036,0.001083373,-8.985480624
TUSD,-0.00153017,19.30449047,6.098074282,17.55490683,0.006094128,1.13E-05,-3.981729536,0.3074847,0.008912646,-9.482573204
GUSD,0.009950331,16.92030206,5.442417711,17.15565327,0.008673535,0.000141307,-3.727922321,0.173953307,0.005834447,-9.022201008
SUSD,-0.021673176,14.17608359,5.752572639,10.86490895,0.021195035,0.000384384,-2.750767186,0.157003749,-0.024661208,-6.978854927
USDC,-0.001986973,19.70403307,5.429345629,17.61370274,0.004904578,-3.00E-05,-4.068977175,0.104360015,0.008834936,-9.702500591
PAX,-0.002185386,18.9882995,5.476463552,18.14675617,0.003600454,4.24E-06,-4.246395822,0.09531018,0.007551096,-9.928257581
DAI,-0.011603056,18.20264387,6.242223265,16.199623,0.00955169,0.000130647,-3.308773499,0.31481074,-6.06E-05,-8.682781791
SBD,0.009950331,16.00542448,6.946975992,14.90294907,0.049515558,0.005017877,-1.2675013,3.106378794,0.522162553,1.179116274
CKUSD,-0.289419581,16.43895891,6.013715156,18.93390383,0.020610999,-0.000279652,-3.176175654,0.139761942,-0.039772739,-5.675754432
BITUSD,0.029558802,15.27458571,7.44132039,13.0486865,0.032410591,0.001477867,-2.270831579,1.430311247,0.002095507,-4.789131045
