Date,Open,High,Low,Close,Volume,Market Cap
2019-03-15,6.63,7.72,6.43,7.5,6057301,
2019-03-16,7.51,8.31,6.69,7.38,3477393,
2019-03-17,7.36,7.36,4.73,4.78,2653565,
2019-03-18,4.83,5.23,4.83,5.11,2567201,
2019-03-19,5.1,5.21,4.79,4.82,3891084,
2019-03-20,4.82,4.84,3.87,4.38,3934421,
2019-03-21,4.42,4.42,3.59,3.63,3901346,
2019-03-22,3.63,3.63,3.29,3.5,4680808,
2019-03-23,3.51,3.53,3.34,3.45,4409797,
2019-03-24,3.45,3.88,3.43,3.77,3928803,
2019-03-25,3.75,3.96,3.66,3.78,4661791,
2019-03-26,3.76,3.83,3.48,3.74,6463760,
2019-03-27,3.75,3.83,3.6,3.78,7031767,
2019-03-28,3.77,3.79,3.48,3.49,6030320,
2019-03-29,3.49,3.55,3.41,3.54,4012185,
2019-03-30,3.54,3.56,3.38,3.47,3370884,
2019-03-31,3.47,3.63,3.44,3.62,3945618,
2019-04-01,3.61,3.87,3.6,3.73,4158589,
2019-04-02,3.76,3.83,3.61,3.79,5365043,
2019-04-03,3.79,3.93,3.66,3.77,5083727,
2019-04-04,3.76,3.83,3.7,3.75,5321012,
2019-04-05,3.74,3.84,3.67,3.81,5415803,
2019-04-06,3.81,4.46,3.77,4.45,4623456,
2019-04-07,4.47,4.89,4.34,4.62,4191619,
2019-04-08,4.63,5.85,4.62,5.45,4041530,
2019-04-09,5.45,5.47,3.8,3.84,5205817,
2019-04-10,3.8,4.18,3.67,3.75,4666417,
2019-04-11,3.77,3.86,3.48,3.51,5287619,
2019-04-12,3.52,4.33,3.48,4.31,4766004,
2019-04-13,4.3,4.47,4.17,4.3,4074112,
2019-04-14,4.3,4.49,4.12,4.46,4087545,
2019-04-15,4.46,4.49,4.29,4.35,4043798,
2019-04-16,4.34,4.48,4.27,4.42,6687900,
2019-04-17,4.36,4.44,4.29,4.35,5040510,
2019-04-18,4.34,4.42,4.27,4.36,3962743,
2019-04-19,4.36,4.9,4.3,4.88,5806997,
2019-04-20,4.87,5.44,4.86,5.44,4130471,
2019-04-21,5.4,5.48,4.65,5.22,4423092,
2019-04-22,5.17,6.95,4.24,4.38,14693545,
2019-04-23,4.38,5.31,4.11,4.12,69288593,
2019-04-24,4.12,4.15,3.1,3.64,51989410,
2019-04-25,3.69,3.78,3.23,3.3,38575975,
2019-04-26,3.3,3.77,3.19,3.63,36448158,
2019-04-27,3.64,3.67,3.39,3.43,24145210,
2019-04-28,3.44,5.14,3.4,4.43,88477197,
2019-04-29,4.46,4.67,3.7,3.75,86344115,
2019-04-30,3.75,4.04,3.75,3.94,53924933,750753657.0
2019-05-01,3.94,4.6,3.92,4.39,90528588,837145852.0
2019-05-02,4.39,4.62,4.23,4.59,83803871,876148070.0
2019-05-03,4.59,5.34,4.57,5.31,161847461,1012716790.0
2019-05-04,5.31,5.58,4.79,5.26,164883490,1003019650.0
2019-05-05,5.26,5.26,4.79,4.85,68292315,925545511.0
2019-05-06,4.85,4.86,4.52,4.73,63030290,901075804.0
2019-05-07,4.73,5.03,4.61,4.61,58235752,879746037.0
2019-05-08,4.6,4.6,4.27,4.35,60816520,830417397.0
2019-05-09,4.37,4.47,3.53,3.9,76347151,742999857.0
2019-05-10,3.9,4.11,3.69,3.83,53606617,730892432.0
2019-05-11,3.83,4.17,3.73,4.02,72859937,766144178.0
2019-05-12,4.0,4.06,3.71,3.77,45901518,719467337.0
2019-05-13,3.77,4.15,3.76,3.94,63138772,750725693.0
2019-05-14,3.95,4.1,3.83,4.0,68024772,762416115.0
2019-05-15,4.0,4.62,3.99,4.53,81407357,863640970.0
2019-05-16,4.53,4.77,4.04,4.28,76583313,815780283.0
2019-05-17,4.27,4.79,3.95,4.4,117708947,838349085.0
2019-05-18,4.4,4.97,4.35,4.71,72187066,898848813.0
2019-05-19,4.71,5.17,4.65,4.89,82033956,933280007.0
2019-05-20,4.89,4.91,4.54,4.72,69473607,900946944.0
2019-05-21,4.71,4.81,4.55,4.78,57280911,910643797.0
2019-05-22,4.78,4.8,4.36,4.36,53427877,831229997.0
2019-05-23,4.35,4.37,4.13,4.34,50139060,826634619.0
2019-05-24,4.34,4.77,4.28,4.47,82477989,852940374.0
2019-05-25,4.47,4.61,4.35,4.42,43392192,843739243.0
