Date,Open,High,Low,Close,Volume,Market Cap
2017-10-24,498.44,500.76,141.1,142.92,23301700,
2017-10-25,143.15,165.8,125.83,137.09,16040700,
2017-10-26,137.03,143.64,121.05,136.23,11556600,
2017-10-27,137.24,137.98,118.33,120.66,8217860,
2017-10-28,120.52,123.43,106.18,115.82,5635800,
2017-10-29,115.92,139.26,115.21,139.18,11295300,
2017-10-30,138.65,138.65,126.42,132.8,6730380,
2017-10-31,133.84,164.55,132.16,156.73,18906800,
2017-11-01,157.02,159.76,140.55,144.88,14898100,
2017-11-02,144.9,147.02,122.97,127.51,12020600,
2017-11-03,126.35,137.29,123.55,131.76,8035790,
2017-11-04,131.6,144.41,128.28,142.17,9145650,
2017-11-05,141.79,175.96,139.99,165.76,16915700,
2017-11-06,165.49,170.19,148.12,148.77,10901900,
2017-11-07,149.25,159.22,149.25,153.35,7219510,
2017-11-08,153.13,159.34,135.21,139.39,12513700,
2017-11-09,140.51,156.66,138.23,156.66,13140500,
2017-11-10,157.49,213.4,155.39,213.4,36198500,
2017-11-11,213.12,509.81,213.12,427.14,187191008,
2017-11-12,421.75,465.62,281.55,282.41,90339904,
2017-11-13,277.0,307.26,218.34,249.22,45916500,
2017-11-14,253.21,253.21,154.05,159.94,39340400,
2017-11-15,160.54,187.28,151.47,161.69,30094100,
2017-11-16,161.87,181.33,136.4,140.78,27949200,
2017-11-17,138.75,165.93,133.05,152.02,24935100,
2017-11-18,153.07,172.45,151.79,155.73,24642900,
2017-11-19,154.91,155.55,133.96,135.69,19503400,
2017-11-20,135.2,247.1,105.79,236.37,93826896,
2017-11-21,250.85,364.78,201.9,267.21,370782016,
2017-11-22,264.18,275.05,232.92,241.72,111451000,
2017-11-23,241.97,299.89,241.97,293.61,154038000,
2017-11-24,295.75,413.74,284.26,394.22,537472000,
2017-11-25,394.04,394.04,339.1,356.04,208662000,5935701496.0
2017-11-26,355.72,366.79,334.74,366.79,141228000,6115587514.0
2017-11-27,370.18,387.88,353.67,359.24,129160000,5990540094.0
2017-11-28,359.36,360.12,325.56,329.78,101004000,5499852648.0
2017-11-29,329.4,360.75,287.73,295.41,252312992,4927213258.0
2017-11-30,294.33,323.56,269.03,304.64,151331008,5081627429.0
2017-12-01,304.34,315.75,288.14,311.64,134598000,5199077994.0
2017-12-02,311.51,315.05,295.88,299.07,88196704,4989928184.0
2017-12-03,298.84,347.78,294.44,320.66,252844000,5350823516.0
2017-12-04,322.01,339.83,316.34,328.38,130453000,5480206648.0
2017-12-05,329.47,329.47,303.18,304.68,113206000,5085302668.0
2017-12-06,305.66,305.93,270.91,279.89,156602000,4671929681.0
2017-12-07,279.03,279.76,250.23,251.64,137884992,4200782720.0
2017-12-08,253.71,278.26,248.08,261.16,178502000,4360246125.0
2017-12-09,260.84,263.1,230.1,243.1,105017000,4059233239.0
2017-12-10,244.98,245.99,195.87,228.87,140891008,3821992818.0
2017-12-11,229.33,288.68,229.19,254.45,265127008,4249567495.0
2017-12-12,254.35,294.19,251.87,275.45,205848992,4600757446.0
2017-12-13,276.11,285.06,254.1,271.45,221863008,4534534282.0
2017-12-14,271.43,352.55,270.45,316.95,467875008,5295250983.0
2017-12-15,316.87,316.87,277.86,297.84,175999008,4976455497.0
2017-12-16,297.06,313.01,292.14,296.4,136415008,4952899005.0
2017-12-17,297.61,306.58,294.5,300.48,120807000,5021761237.0
2017-12-18,300.0,332.55,281.7,319.53,313796992,5340636689.0
2017-12-19,319.81,367.33,316.07,355.18,413363008,5937166180.0
2017-12-20,354.38,488.57,348.57,453.45,983169024,7580780696.0
2017-12-21,449.75,460.87,369.17,406.77,352177984,6801142293.0
2017-12-22,416.44,416.75,259.88,305.73,313312992,5112244655.0
2017-12-23,308.76,354.89,305.99,334.56,217778000,5595005305.0
2017-12-24,334.55,334.55,289.77,305.22,144898000,5104893284.0
2017-12-25,307.49,312.0,295.27,309.33,104619000,5174271915.0
2017-12-26,305.83,316.28,299.03,307.29,110025000,5140621883.0
2017-12-27,307.59,330.97,300.93,317.88,135076992,5318415744.0
2017-12-28,318.78,318.78,274.29,284.34,134169000,4757802912.0
2017-12-29,285.77,291.3,267.74,280.58,114615000,4695383952.0
2017-12-30,281.12,281.62,248.57,251.51,96001296,4209333975.0
2017-12-31,250.12,267.88,249.06,261.72,78952096,4380774821.0
2018-01-01,261.63,297.17,255.76,272.9,143836000,4568446371.0
2018-01-02,275.42,284.96,270.83,277.08,117571000,4638801962.0
2018-01-03,276.12,281.97,267.18,270.24,106643000,4524833850.0
2018-01-04,272.43,280.12,258.89,273.76,136988000,4584228255.0
2018-01-05,274.58,294.79,266.55,277.44,175164992,4646454850.0
2018-01-06,277.45,300.38,273.82,300.38,172099008,5031092798.0
2018-01-07,299.6,335.84,292.49,302.25,203684000,5062946627.0
2018-01-08,302.28,307.44,217.72,239.55,164036000,4013211969.0
2018-01-09,239.06,252.67,227.77,240.9,152475008,4036195385.0
2018-01-10,240.88,243.36,223.43,243.36,131618000,4078010607.0
2018-01-11,242.69,243.88,206.55,210.93,122452000,3535002119.0
2018-01-12,211.64,224.58,207.13,220.55,113420000,3696505031.0
2018-01-13,220.42,366.11,220.1,330.13,1160489984,5533918948.0
2018-01-14,339.06,382.89,272.1,275.86,851848000,4624708210.0
2018-01-15,276.37,332.56,264.7,267.68,1688999936,4488066233.0
2018-01-16,266.35,266.35,151.42,190.11,439329984,3187832725.0
2018-01-17,189.88,209.35,146.95,186.12,347983008,3121284192.0
2018-01-18,186.79,208.26,181.69,195.4,248324992,3277329452.0
2018-01-19,193.12,242.02,191.8,217.95,667273984,3655939307.0
2018-01-20,219.16,237.61,213.79,231.13,288868992,3877413344.0
2018-01-21,230.64,230.64,193.28,198.44,182216992,3329427796.0
2018-01-22,200.12,220.93,175.45,190.33,222920000,3193720099.0
2018-01-23,189.89,200.25,174.54,188.76,104756000,3167745928.0
2018-01-24,189.04,201.15,184.05,190.79,89823400,3202199922.0
2018-01-25,193.06,195.91,182.91,187.04,65369400,3139591968.0
2018-01-26,186.69,194.84,170.06,180.85,90095696,3036028496.0
2018-01-27,181.63,185.68,177.38,185.46,55528300,3113844125.0
2018-01-28,186.8,195.62,186.22,189.16,130075000,3176327643.0
2018-01-29,188.89,193.03,178.63,181.59,49388600,3049512345.0
2018-01-30,182.33,182.33,158.49,159.13,47888900,2672551888.0
2018-01-31,158.35,159.12,146.5,156.96,56636600,2636461442.0
2018-02-01,156.89,158.49,122.87,127.57,51720700,2143058559.0
2018-02-02,127.89,127.89,89.15,110.22,84321296,1851899714.0
2018-02-03,110.16,116.97,97.99,114.48,42576100,1923590844.0
2018-02-04,113.64,121.31,99.12,100.56,52606600,1689857265.0
2018-02-05,100.92,102.26,81.6,84.62,33394900,1422278810.0
2018-02-06,85.27,94.24,72.12,92.99,47319600,1563016921.0
2018-02-07,92.6,98.43,84.76,87.55,35079700,1471873769.0
2018-02-08,87.58,111.19,87.58,104.09,95463000,1750106354.0
2018-02-09,103.91,168.04,99.87,166.09,110290000,2792681878.0
2018-02-10,165.33,168.52,125.71,129.42,72058400,2176365703.0
2018-02-11,129.86,133.75,113.86,123.26,53976000,2073118622.0
2018-02-12,123.46,138.2,112.07,115.49,32417600,1942657565.0
2018-02-13,115.41,124.99,108.34,121.81,84443104,2049163779.0
2018-02-14,121.63,129.65,120.76,128.91,84193696,2168907675.0
2018-02-15,128.19,133.02,126.15,132.59,52837400,2230987076.0
2018-02-16,132.26,144.19,131.59,141.77,83658704,2385402362.0
2018-02-17,141.13,145.46,138.44,143.16,53976000,2409482085.0
2018-02-18,143.5,147.56,128.05,131.27,65481300,2209600449.0
2018-02-19,131.54,141.65,131.21,141.41,43253800,2380668211.0
2018-02-20,141.19,142.89,132.8,133.12,52897600,2241369737.0
2018-02-21,132.13,133.82,120.61,123.64,40865000,2081979968.0
2018-02-22,123.28,128.36,113.13,119.73,42122500,2016397463.0
2018-02-23,118.7,126.05,118.52,124.31,46248700,2093658918.0
2018-02-24,123.89,126.78,115.43,118.03,24640700,1988111779.0
2018-02-25,117.83,120.42,111.6,114.9,19969000,1935547907.0
2018-02-26,115.21,120.36,112.87,119.82,24567900,2018841767.0
2018-02-27,119.85,124.55,118.57,121.31,36913200,2044231714.0
2018-02-28,120.36,121.96,113.0,113.18,21112300,1907271501.0
2018-03-01,113.07,118.99,111.58,113.58,26936600,1914386298.0
2018-03-02,113.57,115.1,110.33,111.68,30317000,1882502841.0
2018-03-03,111.61,113.93,110.34,111.75,19943900,1883935820.0
2018-03-04,111.65,113.08,108.75,113.08,19616800,1906564282.0
2018-03-05,113.06,113.19,109.57,111.03,22328900,1872320384.0
2018-03-06,110.76,110.76,101.79,103.13,25065500,1739188800.0
2018-03-07,103.09,104.19,88.62,91.6,28628100,1544990797.0
2018-03-08,91.5,94.0,86.44,87.27,22878700,1472060871.0
2018-03-09,86.96,87.73,77.02,85.73,27151600,1446304542.0
2018-03-10,85.72,87.81,80.46,81.38,19514900,1373129041.0
2018-03-11,81.08,85.71,78.7,84.71,18510800,1429482784.0
2018-03-12,84.68,86.44,77.84,80.07,16334300,1351302695.0
2018-03-13,79.72,80.94,77.66,79.15,17303400,1336002946.0
2018-03-14,79.1,80.25,66.88,68.64,23511600,1158708506.0
2018-03-15,68.53,68.86,62.87,66.2,31260500,1117669435.0
2018-03-16,66.25,68.34,62.44,63.15,28649700,1066363863.0
2018-03-17,63.2,66.28,58.36,58.97,15795900,995810063.0
2018-03-18,58.61,59.89,52.54,59.45,26012900,1004037380.0
2018-03-19,59.83,69.32,58.56,68.43,42187500,1155797535.0
2018-03-20,68.39,69.52,61.94,66.19,42417800,1118083729.0
2018-03-21,66.36,68.67,64.47,66.03,32135500,1115477426.0
2018-03-22,65.35,67.28,59.24,61.89,25006000,1045680570.0
2018-03-23,61.85,62.01,57.93,60.27,25689800,1018463511.0
2018-03-24,60.72,64.17,59.37,60.85,24780300,1028458126.0
2018-03-25,60.0,63.07,58.53,60.48,19231100,1022304523.0
2018-03-26,60.51,61.9,52.96,56.44,20747400,954078360.0
2018-03-27,56.46,56.74,52.33,52.72,14757300,891314932.0
2018-03-28,52.63,56.0,52.38,53.13,14219400,898404325.0
2018-03-29,53.2,53.28,45.38,45.7,16339100,772809899.0
2018-03-30,45.7,47.02,43.18,44.55,13761600,753409240.0
2018-03-31,44.52,46.58,44.04,44.34,7037180,750095470.0
2018-04-01,44.4,44.88,39.18,41.22,8668900,697260134.0
2018-04-02,41.42,43.51,41.02,42.94,8366690,726477459.0
2018-04-03,43.02,48.09,42.6,46.97,21330600,794821019.0
2018-04-04,46.84,47.0,42.05,42.2,11470400,714197815.0
2018-04-05,42.14,43.34,39.8,41.59,15492900,703922383.0
2018-04-06,41.59,42.01,39.0,39.61,7731100,670576212.0
2018-04-07,39.74,41.75,39.71,41.16,6153040,696766877.0
2018-04-08,41.21,42.41,41.17,42.1,5044870,712832541.0
2018-04-09,42.09,44.11,40.45,41.2,8747160,697727438.0
2018-04-10,41.22,41.24,40.05,40.88,7640680,692255119.0
2018-04-11,40.81,42.68,40.81,42.25,13074500,715631571.0
2018-04-12,42.41,46.58,40.75,46.32,30858900,784578479.0
2018-04-13,46.41,48.53,44.94,45.4,22189300,769094889.0
2018-04-14,45.1,46.86,44.57,45.61,10333700,772738102.0
2018-04-15,45.77,49.38,45.77,48.97,14013200,829738033.0
2018-04-16,48.93,54.49,48.93,52.76,63597200,894161981.0
2018-04-17,52.76,53.01,50.87,51.03,20651400,864971241.0
2018-04-18,51.11,55.89,51.11,55.22,26852500,936131751.0
2018-04-19,55.34,59.93,54.88,59.93,37101100,1016049350.0
