Date,Open,High,Low,Close,Volume,Market Cap
2014-02-14,0.21389899999999998,0.37888299999999997,0.21389899999999998,0.37402399999999997,15422,1233615
2014-02-15,0.331111,0.354461,0.21943400000000002,0.314865,21119,1046628
2014-02-16,0.32584,0.459833,0.310345,0.406976,28017,1363376
2014-02-17,0.406039,1.5,0.402588,1.45,178618,4868772
2014-02-18,1.18,1.5,0.841751,1.04,160779,3494971
2014-02-19,1.04,1.21,0.8519950000000001,0.9416469999999999,60551,3195128
2014-02-20,0.941944,1.23,0.8948649999999999,1.06,93281,3609738
2014-02-21,1.05,1.33,1.02,1.13,83008,3859818
2014-02-22,1.12,1.26,0.6965020000000001,1.24,101024,4264298
2014-02-23,1.15,3.36,0.6234430000000001,1.15,115234,3965894
2014-02-24,1.18,1.19,0.41853199999999996,0.8419030000000001,109256,2911525
2014-02-25,0.839383,0.839383,0.527474,0.527474,69493,1830870
2014-02-26,0.6203989999999999,0.739818,0.494515,0.619451,49321,2158084
2014-02-27,0.616643,0.742251,0.549852,0.61939,15148,2166216
2014-02-28,0.6186619999999999,0.6255390000000001,0.458697,0.550661,60517,1933430
2014-03-01,0.549616,1.07,0.5289729999999999,0.937342,252311,3303525
2014-03-02,0.9360360000000001,1.08,0.8159029999999999,1.03,148259,3637712
2014-03-03,1.03,4.4,0.9357489999999999,1.21,271197,4280828
2014-03-04,1.21,1.21,0.9708829999999999,0.987557,90550,3516975
2014-03-05,0.987192,1.07,0.9411510000000001,1.03,93138,3687113
2014-03-06,1.03,1.05,0.952003,1.05,68896,3775404
2014-03-07,1.06,1.1,0.877912,0.877912,112877,3158070
2014-03-08,0.911867,0.9534940000000001,0.8568600000000001,0.914905,70281,3302886
2014-03-09,0.9131889999999999,0.958778,0.806353,0.872964,48781,3162071
2014-03-10,0.872114,0.9121600000000001,0.745242,0.8102560000000001,45946,2944403
2014-03-11,0.8075979999999999,0.922435,0.764712,0.8913,42234,3249545
2014-03-12,0.888208,0.953882,0.8582139999999999,0.865936,39530,3167352
2014-03-13,0.865569,0.8950940000000001,0.810772,0.8333360000000001,31123,3056985
2014-03-14,0.8333799999999999,0.8460799999999999,0.7851600000000001,0.811341,26274,2976299
2014-03-15,0.812077,0.8160569999999999,0.739031,0.7912,30817,2922676
2014-03-16,0.791673,0.800764,0.755205,0.775647,39429,2874708
2014-03-17,0.772496,0.821393,0.749368,0.781925,34416,2907318
2014-03-18,0.77927,0.780172,0.7302930000000001,0.75221,39252,2805868
2014-03-19,0.750897,0.7682359999999999,0.728004,0.743559,35742,2782402
2014-03-20,0.743256,0.755714,0.701852,0.725089,42290,2721772
2014-03-21,0.724498,0.751899,0.679063,0.7046479999999999,28087,2653491
2014-03-22,0.704266,0.718955,0.6816939999999999,0.71468,24618,2699883
2014-03-23,0.715596,0.728952,0.6934779999999999,0.7182569999999999,34977,2721905
2014-03-24,0.719851,0.892484,0.700397,0.866518,136677,3293674
2014-03-25,0.8689120000000001,0.9009790000000001,0.795766,0.8201,78095,3126414
2014-03-26,0.8194940000000001,0.870226,0.79043,0.858815,39790,3283297
2014-03-27,0.864728,0.8655129999999999,0.6835,0.6835,32991,2620600
2014-03-28,0.692062,0.774768,0.683257,0.697426,27851,2681518
2014-03-29,0.709294,0.728762,0.702573,0.703475,23667,2712446
2014-03-30,0.708306,0.7100380000000001,0.612809,0.662486,30985,2561407
2014-03-31,0.6651229999999999,0.68689,0.624873,0.641774,15608,2488290
2014-04-01,0.641783,0.747204,0.6383850000000001,0.724105,36211,2815062
2014-04-02,0.725259,0.7404970000000001,0.5899909999999999,0.6150439999999999,21722,2397479
2014-04-03,0.614065,0.6667649999999999,0.573639,0.638183,18610,2494273
2014-04-04,0.640371,0.662537,0.6252800000000001,0.648937,11863,2543398
2014-04-05,0.640305,0.703904,0.620445,0.700444,28674,2752711
2014-04-06,0.700828,0.723713,0.630182,0.641513,13167,2527895
2014-04-07,0.6478,0.64933,0.5907220000000001,0.6041,45233,2387275
2014-04-08,0.606079,0.6282220000000001,0.5806979999999999,0.603018,21411,2389171
2014-04-09,0.603431,0.61673,0.583104,0.587437,9604,2333706
2014-04-10,0.587616,0.5916560000000001,0.44896,0.45703599999999994,16417,1820468
2014-04-11,0.453743,0.576868,0.44131400000000004,0.5489069999999999,18946,2192256
2014-04-12,0.5488310000000001,0.591372,0.535384,0.571875,18959,2289956
2014-04-13,0.572342,0.576653,0.520363,0.539027,15789,2164286
2014-04-14,0.538982,0.6012,0.521968,0.583917,29214,2350853
2014-04-15,0.5879949999999999,0.653352,0.576325,0.647564,28751,2614207
2014-04-16,0.655849,0.687299,0.631659,0.655656,23860,2654214
2014-04-17,0.6577350000000001,0.6696489999999999,0.610727,0.6158560000000001,19435,2499800
2014-04-18,0.618219,1.03,0.612899,0.7897770000000001,293384,3214345
2014-04-19,0.794215,0.794215,0.701508,0.736829,57416,3006893
2014-04-20,0.747391,0.754119,0.689135,0.7229260000000001,30229,2958104
2014-04-21,0.722222,0.745336,0.673071,0.708118,29266,2905581
2014-04-22,0.707657,0.728795,0.6661590000000001,0.722089,72972,2970874
2014-04-23,0.7227319999999999,1.01,0.713825,0.8730709999999999,196373,3601159
2014-04-24,0.871977,1.15,0.871977,1.06,329106,4375511
2014-04-25,1.06,1.97,1.0,1.69,794049,6988284
2014-04-26,1.71,2.41,1.39,1.72,1204200,7161605
2014-04-27,1.7,2.0,1.54,1.71,509028,7100822
2014-04-28,1.67,1.77,1.62,1.67,198793,6957755
2014-04-29,1.67,1.7,1.45,1.64,302458,6832234
2014-04-30,1.63,1.66,1.49,1.54,38202,6438676
2014-05-01,1.54,1.59,1.47,1.52,232684,6351408
2014-05-02,1.51,1.54,1.18,1.35,171901,5662270
2014-05-03,1.35,1.35,1.14,1.2,93670,5032190
2014-05-04,1.19,1.7,1.16,1.55,275743,6537952
2014-05-05,1.56,1.84,1.52,1.67,291678,7076205
2014-05-06,1.68,1.71,1.6,1.61,75746,6811777
2014-05-07,1.61,1.69,1.56,1.63,100953,6914885
2014-05-08,1.61,1.74,1.61,1.65,84669,7011558
2014-05-09,1.65,2.33,1.63,2.23,520876,9466773
2014-05-10,2.23,2.88,2.04,2.57,854388,10944066
2014-05-11,2.54,2.82,2.54,2.57,569871,10966982
2014-05-12,2.56,2.66,2.15,2.47,760914,10559386
2014-05-13,2.47,2.8,2.43,2.77,415759,11854415
2014-05-14,2.75,4.69,2.72,4.01,1721090,17164361
2014-05-15,4.01,7.34,4.0,5.76,3215550,24714019
2014-05-16,5.84,6.62,4.99,5.92,2408390,25426996
2014-05-17,5.92,6.07,4.11,4.74,1637800,20364605
2014-05-18,4.71,6.38,4.22,6.38,2041030,27439501
2014-05-19,6.48,7.22,6.12,6.94,1655720,29880547
2014-05-20,6.93,7.06,6.13,6.88,1290930,29659427
2014-05-21,6.88,8.0,6.78,7.99,1414570,34449263
2014-05-22,8.0,11.23,7.98,11.23,4383980,48495634
2014-05-23,11.15,15.03,11.06,13.49,7267510,58279461
2014-05-24,13.51,13.85,10.63,12.1,3637020,52323392
2014-05-25,12.06,15.15,11.85,15.13,3625030,65445382
2014-05-26,15.02,15.18,8.4,11.29,260919,48856716
2014-05-27,11.27,12.07,8.31,10.57,3730600,45792845
2014-05-28,10.59,10.68,6.94,7.21,3909160,31243840
2014-05-29,7.16,9.94,6.13,9.38,6110000,40679365
2014-05-30,9.38,11.97,8.41,11.05,5769570,47982000
2014-05-31,11.09,12.5,10.99,11.33,2675190,49244145
2014-06-01,11.24,13.75,11.19,12.93,3460750,56208979
2014-06-02,12.92,16.0,12.73,14.48,4918700,62997549
2014-06-03,14.52,14.67,12.81,13.9,3096930,60529077
2014-06-04,13.83,13.89,12.03,12.5,1454730,54457164
