Date,Open,High,Low,Close,Volume,Market Cap
2013-04-29,4.37,4.57,4.23,4.38,,75388964
2013-04-30,4.4,4.57,4.17,4.3,,74020918
2013-05-01,4.29,4.36,3.52,3.8,,65604596
2013-05-02,3.78,4.04,3.01,3.37,,58287979
2013-05-03,3.39,3.45,2.4,3.04,,52694847
2013-05-04,3.03,3.64,2.9,3.48,,60290868
2013-05-05,3.49,3.69,3.35,3.59,,62298185
2013-05-06,3.59,3.78,3.12,3.37,,58594361
2013-05-07,3.37,3.41,2.94,3.33,,58051265
2013-05-08,3.28,3.49,3.28,3.41,,59508216
2013-05-09,3.4,3.44,3.29,3.42,,59755569
2013-05-10,3.41,3.63,3.37,3.44,,60358927
2013-05-11,3.46,3.48,3.3,3.35,,58809513
2013-05-12,3.36,3.42,3.22,3.27,,57513320
2013-05-13,3.26,3.37,3.2,3.28,,57790879
2013-05-14,3.28,3.33,2.78,2.82,,49847568
2013-05-15,2.82,3.04,2.64,2.94,,51891652
2013-05-16,2.93,2.97,2.69,2.92,,51685880
2013-05-17,2.89,3.34,2.87,3.19,,56498074
2013-05-18,3.2,3.36,3.13,3.29,,58518794
2013-05-19,3.3,3.41,3.19,3.3,,58760676
2013-05-20,3.31,3.32,3.15,3.18,,56682749
2013-05-21,3.19,3.22,3.04,3.09,,55073034
2013-05-22,3.09,3.14,3.03,3.12,,55766901
2013-05-23,3.12,3.19,3.09,3.18,,56949220
2013-05-24,3.17,3.19,3.04,3.18,,57017469
2013-05-25,3.19,3.2,3.05,3.12,,56026343
2013-05-26,3.12,3.33,3.09,3.25,,58457958
2013-05-27,3.23,3.26,3.02,3.1,,55882132
2013-05-28,3.1,3.13,3.02,3.09,,55813732
2013-05-29,3.09,3.12,3.02,3.1,,55971819
2013-05-30,3.08,3.09,2.88,2.97,,53812628
2013-05-31,2.97,2.99,2.69,2.96,,53635813
2013-06-01,2.94,2.97,2.8,2.83,,51354548
2013-06-02,2.83,2.86,2.56,2.73,,49625823
2013-06-03,2.73,2.75,2.61,2.73,,49674160
2013-06-04,2.7,2.9,2.7,2.87,,52324427
2013-06-05,2.87,2.99,2.81,2.86,,52331672
2013-06-06,2.88,2.91,2.74,2.75,,50432630
2013-06-07,2.78,2.79,2.51,2.6,,47740051
2013-06-08,2.6,2.66,2.54,2.56,,47088868
2013-06-09,2.55,2.59,2.07,2.38,,43858290
2013-06-10,2.38,2.58,2.26,2.49,,45853397
2013-06-11,2.49,2.5,2.18,2.4,,44270317
2013-06-12,2.41,2.45,2.31,2.38,,44101286
2013-06-13,2.4,2.49,2.23,2.27,,42056098
2013-06-14,2.27,2.29,2.09,2.13,,39610213
2013-06-15,2.14,2.21,2.05,2.11,,39124633
2013-06-16,2.09,2.15,2.02,2.13,,39617093
