Date,Open,High,Low,Close,Volume,Market Cap
2017-01-29,22.1,24.61,22.05,22.65,13325,
2017-01-30,22.67,24.64,21.06,24.31,62568,
2017-01-31,24.3,24.49,24.25,24.45,62919,
2017-08-27,288.0,291.09,288.0,290.85,75657,
2017-08-28,291.42,295.87,280.19,286.03,19215,
2017-08-29,285.85,318.74,285.85,316.92,4371,
2017-08-30,316.73,335.72,295.73,295.73,182599,
2017-08-31,295.71,300.06,293.55,298.9,168815,
2017-09-01,298.9,345.04,298.9,309.36,28212,
2017-09-02,309.51,309.64,274.38,290.98,26845,
2017-09-03,291.71,307.33,280.54,292.38,1102,
2017-09-04,292.51,292.51,227.09,248.49,313606,
2017-09-05,248.69,598.5,218.27,256.06,341784,
2017-09-06,257.21,276.16,257.21,273.95,32725,
2017-09-07,273.89,276.52,241.95,274.4,13711,
2017-09-08,274.72,274.72,240.82,251.15,753,
2017-09-09,251.56,251.56,247.65,248.32,745,
2017-11-20,252.48,278.23,252.4,272.45,259174,
2017-11-21,272.02,288.93,260.02,279.92,9649,
2017-11-22,280.28,400.65,280.05,326.19,14577,
2017-11-23,326.94,359.5,320.86,347.44,1187,
2017-11-24,345.7,408.14,339.25,401.83,166167,
2017-11-25,401.76,423.29,364.45,395.26,200519,
2017-11-26,395.27,406.63,374.69,404.79,12132,
2017-11-27,404.68,572.86,393.37,421.46,1993,
2017-11-28,420.88,423.56,381.75,382.07,29741,
2017-11-29,382.38,420.16,319.71,327.54,1699,
2017-11-30,331.74,385.39,308.18,381.36,16339,
2017-12-01,380.41,391.55,341.88,376.92,5627,
2017-12-02,376.91,405.98,372.57,373.4,2612,
2017-12-03,373.53,420.76,369.69,403.03,6007,
2017-12-04,403.78,411.28,384.18,396.23,4042,
2017-12-05,396.43,402.74,377.6,396.35,11304,
2017-12-06,395.65,397.14,353.9,361.19,53172,
2017-12-07,359.93,377.82,347.23,358.64,65610,
2017-12-08,359.17,410.12,350.32,402.77,36391,
2017-12-09,402.76,453.31,402.76,426.0,3864,
2017-12-10,427.36,427.36,388.39,399.8,65534,
2017-12-11,400.26,486.51,391.8,486.51,71980,
2017-12-12,483.39,626.86,462.17,621.99,118742,
2017-12-13,622.42,822.6,553.28,820.75,100344,
2017-12-14,820.32,872.26,763.52,802.79,63565,
2017-12-15,803.54,861.78,712.28,791.04,206328,
2017-12-16,792.54,1116.57,792.54,1079.24,731649,
2017-12-17,1082.26,1154.92,1046.66,1070.19,259197,
2017-12-18,1068.78,1229.9,992.41,1218.42,455522,
2017-12-19,1221.99,1750.03,1219.75,1394.94,1282490,
2017-12-20,1393.45,1458.47,1118.46,1277.57,262010,
2017-12-21,1278.94,1361.14,1021.46,1095.19,799675,
2017-12-22,1098.97,1111.09,682.66,823.4,633680,
2017-12-23,830.24,1084.73,830.24,989.82,599721,
2017-12-24,1001.15,1103.93,809.2,1005.6,245322,
2017-12-25,1012.0,1054.78,918.28,1047.2,357740,
2017-12-26,1053.56,1114.47,823.55,1064.33,943383,
2017-12-27,1065.41,1100.51,1010.77,1038.11,877151,
2017-12-28,1041.72,1043.06,920.61,996.76,799689,
2017-12-29,1006.88,1044.8,970.57,1007.08,800242,
2017-12-30,1010.77,1012.6,869.29,918.43,528455,
2017-12-31,907.95,994.32,902.05,959.91,814006,
2018-01-01,961.02,985.59,883.0,970.09,502841,
2018-01-02,971.17,1070.1,958.84,1063.07,660736,
2018-01-03,1064.77,1090.88,999.22,1074.53,809445,
2018-01-04,998.39,1098.15,933.83,1040.25,733011,
2018-01-05,1033.52,1117.96,1012.9,1096.78,1657580,
2018-01-06,1105.47,1216.9,1092.42,1216.9,2040790,
2018-01-07,1224.52,1267.32,1134.89,1169.35,1802970,
2018-01-08,1171.07,1220.78,1015.89,1112.88,1242620,
2018-01-09,1112.34,1259.56,941.55,1096.44,1557700,
2018-01-10,1097.69,1151.85,1004.02,1076.53,1244900,
2018-01-11,1073.67,1133.5,958.55,1015.16,1686490,
