Date,Open,High,Low,Close,Volume,Market Cap
2018-03-08,2.62,3.35,1.24,2.84,150428000,
2018-03-09,2.85,2.94,1.42,1.64,182844992,
2018-03-10,1.65,1.87,1.47,1.48,53627900,
2018-03-11,1.48,1.63,1.41,1.6,46160400,
2018-03-12,1.6,1.62,1.27,1.31,53359000,
2018-03-13,1.3,1.41,1.21,1.36,89964304,
2018-03-14,1.36,1.57,1.36,1.47,294265984,
2018-03-15,1.47,1.71,1.27,1.69,178626000,
2018-03-16,1.67,1.86,1.49,1.51,70498600,169686942.0
2018-03-17,1.37,1.49,1.25,1.28,47038200,144171564.0
2018-03-18,1.28,1.32,1.01,1.28,33210200,143552696.0
2018-03-19,1.27,1.31,1.17,1.26,29096500,141610574.0
2018-03-20,1.28,1.45,1.25,1.38,32469000,154831852.0
2018-03-21,1.38,1.5,1.35,1.41,28898900,158574318.0
2018-03-22,1.41,1.47,1.24,1.31,28259000,147450441.0
2018-03-23,1.31,1.37,1.23,1.37,25017500,154076833.0
2018-03-24,1.38,1.48,1.37,1.43,25723300,161151060.0
2018-03-25,1.4,1.51,1.35,1.51,23903500,169727450.0
2018-03-26,1.47,1.94,1.44,1.74,81838200,196230767.0
2018-03-27,1.76,2.37,1.62,2.19,93276096,246572892.0
2018-03-28,2.13,2.86,2.06,2.33,136956992,261774548.0
2018-03-29,2.33,2.44,1.98,2.14,68976200,240524861.0
2018-03-30,2.13,2.46,2.01,2.31,64202200,259405971.0
2018-03-31,2.31,2.37,2.05,2.06,37808000,231612032.0
2018-04-01,2.06,2.18,1.78,2.07,35752600,232973542.0
2018-04-02,2.09,2.19,2.03,2.06,31940000,232019360.0
2018-04-03,2.06,2.37,2.03,2.29,28097800,257925187.0
2018-04-04,2.29,2.48,2.19,2.44,41934000,274842797.0
2018-04-05,2.46,2.88,2.33,2.86,70226400,321814903.0
2018-04-06,2.85,3.07,2.61,3.06,73498000,344521744.0
2018-04-07,3.06,4.0,3.06,3.78,156704992,425437089.0
2018-04-08,3.78,3.78,3.42,3.49,78653600,393063524.0
2018-04-09,3.5,3.62,3.21,3.48,85303600,391945061.0
2018-04-10,3.5,4.77,3.5,4.62,161658000,519994542.0
2018-04-11,4.68,4.69,4.1,4.3,129688000,483328282.0
2018-04-12,4.28,4.66,4.13,4.4,96839696,494808852.0
2018-04-13,4.42,5.11,4.21,4.21,124367000,473313867.0
2018-04-14,4.21,4.47,4.1,4.34,53516600,488809205.0
2018-04-15,4.35,4.76,4.32,4.51,65344300,507323495.0
2018-04-16,4.51,4.63,4.0,4.14,44848400,465947084.0
2018-04-17,4.15,4.3,4.02,4.07,59607000,458159470.0
2018-04-18,4.07,4.27,4.06,4.27,36890700,480352088.0
2018-04-19,4.27,4.61,4.23,4.48,64275200,503582154.0
2018-04-20,4.49,4.55,4.18,4.32,66723800,485862267.0
2018-04-21,4.31,4.35,3.92,4.06,49311100,456910481.0
2018-04-22,4.06,4.26,3.93,4.02,48383100,451898773.0
2018-04-23,4.02,4.47,4.0,4.22,58770900,475377512.0
2018-04-24,4.22,4.96,4.21,4.82,90082400,541800086.0
2018-04-25,4.79,5.36,4.3,5.01,152292000,564480310.0
2018-04-26,5.06,5.64,5.06,5.29,126150000,595313424.0
2018-04-27,5.33,5.69,5.16,5.28,94647696,594906940.0
2018-04-28,5.26,7.34,5.22,7.04,191099008,793370578.0
2018-04-29,6.94,9.37,6.92,9.25,347310016,1041561780.0
2018-04-30,9.24,9.28,7.58,7.8,219806000,878389410.0
2018-05-01,7.8,8.71,7.15,8.71,194524000,980877803.0
2018-05-02,8.72,8.84,8.28,8.58,86668200,966552583.0
2018-05-03,8.58,11.18,8.51,10.07,507808992,1134316456.0
2018-05-04,10.08,10.57,9.36,9.75,143194000,1098049548.0
2018-05-05,9.74,10.3,8.96,8.96,125322000,1008711956.0
2018-05-06,9.04,9.66,8.41,9.33,129074000,1050878440.0
