Date,Open,High,Low,Close,Volume,Market Cap
2015-10-28,1.47,1.56,1.47,1.52,4283,
2015-10-29,1.55,1.62,1.52,1.62,4211,
2015-10-30,1.62,1.72,1.59,1.69,5655,
2015-10-31,1.7,1.72,1.55,1.57,3770,
2015-11-01,1.58,1.69,1.56,1.68,3332,
2015-11-02,1.68,1.89,1.64,1.84,4418,
2015-11-03,1.84,2.16,1.82,2.08,6808,
2015-11-04,2.08,2.55,1.93,2.09,9166,
2015-11-05,2.07,2.27,1.9,1.96,855,
2015-11-06,1.97,1.97,1.83,1.83,73,
2015-11-07,1.95,2.01,1.94,1.99,753,
2015-11-08,1.98,2.01,1.9,1.92,1092,
2015-11-09,1.93,1.98,1.82,1.94,4313,
2015-11-10,1.94,1.97,1.65,1.74,2087,
2015-11-11,1.75,1.76,1.46,1.65,6071,
2015-11-12,1.66,1.77,1.49,1.62,2958,
2015-11-13,1.62,1.66,1.57,1.61,820,
2015-11-14,1.61,1.64,1.53,1.6,518,
2015-11-15,1.6,1.61,1.5,1.56,60,
2015-11-16,1.56,1.62,1.5,1.62,478,
2015-11-17,1.62,1.65,1.6,1.64,700,
2015-11-18,1.64,1.65,1.62,1.64,44,
2015-11-19,1.64,1.64,1.59,1.59,67,
2015-11-20,1.59,1.6,1.5,1.58,207,
2015-11-21,1.58,1.61,1.56,1.6,84,
2015-11-22,1.6,1.6,1.54,1.59,185,
2015-11-23,1.59,1.59,1.52,1.53,298,
2015-11-24,1.53,1.53,1.51,1.51,20,
2015-11-25,1.53,1.59,1.53,1.59,83,
2015-11-26,1.59,1.76,1.58,1.67,170,
2015-11-27,1.66,1.77,1.66,1.72,165,
2015-11-28,1.71,1.76,1.68,1.74,510,
2015-11-29,1.74,1.79,1.72,1.78,371,
2015-11-30,1.78,1.86,1.48,1.51,510,
2015-12-01,1.51,1.67,1.51,1.57,445,
2015-12-02,1.56,1.61,1.46,1.54,86,
2015-12-03,1.55,1.63,1.54,1.56,187,
2015-12-04,1.56,1.63,1.55,1.63,230,
2015-12-05,1.63,1.84,1.63,1.84,612,
2015-12-06,1.84,1.9,1.82,1.83,548,
2015-12-07,1.83,1.88,1.64,1.66,36,
2015-12-08,1.66,1.88,1.64,1.88,155,
2015-12-09,1.87,2.0,1.67,1.67,129,
2015-12-10,1.67,2.1,1.67,1.89,580,
2015-12-11,1.89,2.17,1.89,2.17,208,
2015-12-12,2.18,2.25,1.98,2.11,512,
2015-12-13,2.11,2.21,2.07,2.17,2,
2015-12-14,2.17,2.24,2.15,2.23,2,
2015-12-15,2.13,2.29,2.13,2.29,259,
2015-12-16,2.29,2.32,2.19,2.3,236,
2015-12-17,2.3,2.3,2.17,2.19,113,
2015-12-18,2.19,2.23,2.18,2.2,113,
2015-12-19,2.34,2.6,2.34,2.39,1882,
2015-12-20,2.39,2.63,2.02,2.06,514,
2015-12-21,2.06,2.49,1.99,2.05,361,
2015-12-22,2.04,2.53,1.99,1.99,372,
2015-12-23,1.99,2.18,1.75,2.1,860,
2015-12-24,2.1,2.3,2.04,2.23,441,
2015-12-25,2.23,2.52,2.23,2.52,686,
2015-12-26,2.52,2.59,2.3,2.37,148,
2015-12-27,2.37,2.37,2.32,2.34,147,
2015-12-28,2.09,2.42,2.07,2.35,281,
2015-12-29,2.35,2.36,1.96,1.97,299,
2015-12-30,1.98,2.15,1.92,2.09,216,
2015-12-31,2.09,2.19,2.08,2.18,117,
2016-01-01,2.18,2.21,2.03,2.17,1364,
