Date,Open,High,Low,Close,Volume,Market Cap
2017-12-15,226.65,436.13,203.44,343.19,11329400,
2017-12-16,325.25,337.75,237.46,250.21,3419680,
2017-12-17,248.13,273.02,230.79,249.28,1969230,
2017-12-18,247.66,289.6,247.45,276.47,2179250,
2017-12-19,275.88,307.21,241.62,271.77,3110840,
2017-12-20,270.96,332.37,228.53,288.84,3008290,
2017-12-21,289.87,296.3,246.52,254.93,1408600,
2017-12-22,258.46,260.63,168.04,193.34,1120560,
2017-12-23,193.3,242.1,193.3,211.9,611490,
2017-12-24,211.95,216.12,185.51,204.13,419379,
2017-12-25,205.91,298.05,200.3,257.43,1907350,
2017-12-26,257.35,362.28,257.35,323.73,2957980,
2017-12-27,322.98,345.9,282.11,298.36,1537400,
2017-12-28,297.32,298.71,244.16,255.0,972685,
2017-12-29,260.87,269.99,234.69,237.9,904262,
2017-12-30,235.32,243.1,180.3,189.53,689228,
2017-12-31,187.9,219.73,183.62,209.1,587936,
2018-01-01,209.86,209.86,164.68,164.68,1013170,
2018-01-02,162.69,217.73,162.69,201.98,1702030,
2018-01-03,199.32,202.63,173.94,175.59,1278600,
2018-01-04,178.13,189.8,163.86,171.36,1950580,
2018-01-05,170.63,171.08,120.42,127.28,3275290,
2018-01-06,126.76,164.75,120.8,148.04,1942900,
2018-01-07,143.23,200.07,140.71,148.46,1924250,
2018-01-08,150.86,153.22,111.84,125.88,2155880,
2018-01-09,128.74,138.56,117.61,125.03,3318580,
2018-01-10,122.92,130.13,103.57,118.8,4327020,
2018-01-11,115.78,120.83,84.09,96.78,4660680,
2018-01-12,98.48,126.78,95.29,96.47,4975680,
2018-01-13,95.67,147.6,86.93,123.11,13229600,
2018-01-14,122.9,125.11,94.14,100.02,5335080,
2018-01-15,106.12,123.49,97.17,102.92,4181150,
2018-01-16,113.81,113.81,63.7,72.66,4461920,
2018-01-17,71.47,78.82,60.28,75.15,3367150,
2018-01-18,78.48,122.86,72.92,95.42,2392050,
2018-01-19,103.14,123.14,75.19,76.29,1849560,
2018-01-20,77.12,77.52,63.47,74.01,5146600,
2018-01-21,74.42,93.81,70.34,80.32,5210510,
2018-01-22,79.34,101.68,75.83,94.1,2892780,
2018-01-23,90.48,102.84,74.31,79.07,3045310,
2018-01-24,79.01,99.21,63.65,85.46,2888750,
2018-01-25,75.24,107.19,74.18,99.82,2877980,
2018-01-26,92.07,109.32,71.63,75.54,3247940,
2018-01-27,77.2,96.25,48.17,79.43,7915870,
2018-01-28,79.13,81.79,53.12,55.36,5427210,
2018-01-29,54.98,54.98,46.36,48.09,4177570,
2018-01-30,47.52,50.08,39.99,40.45,5565740,
2018-01-31,40.3,45.84,38.17,39.65,3907460,
2018-02-01,40.04,41.8,32.95,34.75,3055390,
2018-02-02,34.54,35.36,25.0,32.14,2827700,
2018-02-03,32.45,38.53,32.19,34.4,1985560,
2018-02-04,34.63,34.95,26.11,28.42,1715160,
2018-02-05,28.07,29.79,20.99,21.14,1863490,
2018-02-06,21.22,22.65,17.44,20.77,1841690,
2018-02-07,20.52,22.97,18.99,20.46,1647690,
2018-02-08,20.4,25.04,19.94,23.44,1418340,
2018-02-09,23.37,26.47,22.45,26.3,828378,
2018-02-10,26.56,28.1,23.91,25.3,1011980,
2018-02-11,25.21,25.21,22.23,23.19,621802,
2018-02-12,23.34,27.03,23.34,25.47,875099,
2018-02-13,25.89,26.84,22.96,23.34,1356670,
2018-02-14,23.16,27.23,22.05,26.19,692383,
2018-02-15,26.07,28.33,25.82,27.0,883169,
2018-02-16,27.03,27.03,23.22,24.62,3172390,
2018-02-17,24.58,27.07,23.31,24.9,1751640,
2018-02-18,24.99,25.63,21.51,23.04,1987690,
2018-02-19,23.16,26.36,22.04,23.6,1140310,
2018-02-20,23.79,25.43,22.42,22.61,2472600,
2018-02-21,22.75,23.47,20.88,21.91,861540,
2018-02-22,21.62,23.53,20.0,20.99,940323,
2018-02-23,20.76,23.27,20.11,21.57,677220,
2018-02-24,21.07,22.54,19.37,20.22,572444,
2018-02-25,20.16,268.89,20.09,25.33,532998,
2018-02-26,25.3,36.01,20.65,21.65,360468,
2018-02-27,21.62,35.16,18.52,26.03,676165,
2018-02-28,26.31,26.31,18.13,21.15,459502,
2018-03-01,20.37,22.65,18.79,20.87,652846,
2018-03-02,19.54,21.83,18.57,19.27,794762,
2018-03-03,18.64,21.66,17.73,20.28,352648,
2018-03-04,20.72,21.33,17.96,19.62,586284,
2018-03-05,20.35,20.58,17.75,18.92,774702,
2018-03-06,18.92,20.57,17.72,18.38,511771,
2018-03-07,18.29,18.45,14.97,15.6,728806,
2018-03-08,15.58,16.64,14.19,14.23,469683,
2018-03-09,14.21,14.92,12.12,13.6,526277,
2018-03-10,14.0,14.35,12.68,12.89,531947,
2018-03-11,12.85,14.03,11.07,12.31,574642,
2018-03-12,12.08,13.16,11.08,11.35,474893,
2018-03-13,11.24,11.59,10.26,10.92,518456,
2018-03-14,10.85,11.38,9.72,9.79,449907,
2018-03-15,9.82,11.84,9.16,10.23,315503,
2018-03-16,11.06,12.69,9.68,10.98,328156,
2018-03-17,11.59,11.59,9.84,10.48,413817,
2018-03-18,10.59,14.21,10.03,13.9,304136,
2018-03-19,14.03,14.67,10.98,11.9,209030,
2018-03-20,11.23,12.4,10.15,10.88,451759,
2018-03-21,10.89,12.95,10.66,12.22,402389,
2018-03-22,12.22,12.46,9.72,10.03,387818,
2018-03-23,10.03,11.27,9.47,10.36,303416,
2018-03-24,10.76,11.17,9.33,9.64,869928,
2018-03-25,9.37,9.86,9.21,9.39,833448,
2018-03-26,9.39,10.08,7.97,8.81,401432,
2018-03-27,8.94,9.25,7.58,7.61,344566,
2018-03-28,8.02,8.88,7.59,8.38,387995,
2018-03-29,8.39,8.65,6.92,7.25,516812,
2018-03-30,7.04,8.51,6.67,8.02,291143,
2018-03-31,7.85,8.81,7.32,7.42,211595,
2018-04-01,7.2,10.58,6.92,9.99,629927,
2018-04-02,10.31,10.63,7.48,7.75,322138,
2018-04-03,7.75,10.5,6.87,9.62,270333,
2018-04-04,9.62,11.05,8.72,8.82,250883,
2018-04-05,9.33,11.63,6.94,11.42,247934,
2018-04-06,11.38,12.09,7.81,8.16,187623,
2018-04-07,8.17,8.96,6.75,7.44,187876,
2018-04-08,6.92,7.78,6.24,7.31,123546,
2018-04-09,7.73,9.8,6.66,7.09,212175,
2018-04-10,7.37,8.07,6.76,7.49,227946,
2018-04-11,7.86,7.86,6.6,7.06,300354,
2018-04-12,7.26,9.3,7.04,8.54,371480,
2018-04-13,8.48,11.54,8.3,10.27,683311,
2018-04-14,10.15,11.62,9.56,9.63,412910,
2018-04-15,9.48,11.18,8.71,11.09,494233,
2018-04-16,11.1,12.95,10.77,11.87,354477,
2018-04-17,11.9,12.05,9.81,9.85,845139,
2018-04-18,9.95,10.38,9.33,9.93,363647,
2018-04-19,9.9,11.32,9.75,10.9,467722,
2018-04-20,10.9,15.22,10.9,15.22,1528970,
2018-04-21,15.2,15.2,12.28,13.36,588630,
2018-04-22,12.95,14.67,11.91,13.62,683416,
2018-04-23,13.74,25.23,13.18,23.19,1336610,
2018-04-24,23.18,26.15,16.08,16.83,1229140,
2018-04-25,16.78,16.89,12.85,13.17,928607,
2018-04-26,13.29,34.18,12.91,32.68,17110800,
2018-04-27,31.76,32.48,25.72,27.09,5844490,
2018-04-28,26.82,30.95,24.61,25.61,3922400,
2018-04-29,25.68,25.7,20.12,23.23,2641430,
2018-04-30,23.26,24.91,21.4,21.8,1473940,
2018-05-01,21.77,21.91,19.17,19.71,1092630,
2018-05-02,19.9,21.47,18.43,21.04,943967,
2018-05-03,20.77,21.94,18.65,20.97,862632,
2018-05-04,19.89,22.47,18.94,20.89,1453220,
