Date,Open,High,Low,Close,Volume,Market Cap
2018-10-06,1.03,1.03,0.989907,0.9953770000000001,280720,
2018-10-07,0.997531,1.01,0.990535,1.0,75349,
2018-10-08,0.999992,1.01,0.993175,1.0,83887,
2018-10-09,1.0,1.02,0.9910770000000001,1.0,71707,
2018-10-10,0.99465,1.01,0.9929959999999999,1.0,50836,
2018-10-11,0.9993850000000001,1.03,0.9909290000000001,0.997064,158297,
2018-10-12,1.0,1.01,0.9856360000000001,1.0,408806,
2018-10-13,1.01,1.01,1.0,1.01,30107,
2018-10-14,1.01,1.02,1.0,1.01,29209,
2018-10-15,1.02,1.15,0.9597969999999999,1.03,512946,
2018-10-16,1.03,1.19,1.01,1.02,2052790,
2018-10-17,1.02,1.03,1.01,1.02,12545900,
2018-10-18,1.02,1.03,1.0,1.01,4024270,
2018-10-19,1.01,1.09,1.01,1.01,452735,
2018-10-20,1.01,1.02,1.01,1.01,982545,
2018-10-21,1.01,1.04,1.01,1.01,874604,
2018-10-22,1.01,1.03,0.995165,1.0,2035450,
2018-10-23,1.0,1.02,1.0,1.01,3903410,
2018-10-24,1.01,1.02,1.01,1.01,2477350,
2018-10-25,1.01,1.02,1.01,1.01,1757160,
2018-10-26,1.01,1.02,1.01,1.01,2432660,
2018-10-27,1.01,1.02,1.01,1.01,1787840,
2018-10-28,1.01,1.03,1.01,1.02,3149280,
2018-10-29,1.02,1.03,0.9867379999999999,1.01,5186730,
2018-10-30,1.01,1.02,1.0,1.0,1779430,
2018-10-31,1.0,1.01,0.994785,0.994785,5633990,
2018-11-01,1.0,1.07,0.996152,1.01,6389860,
2018-11-02,1.01,1.01,0.997215,1.0,7004320,
2018-11-03,1.0,1.0,1.0,1.0,3754370,
2018-11-04,1.0,1.01,0.9815659999999999,0.9876590000000001,2705160,
2018-11-05,0.982718,1.01,0.977706,0.999499,2248250,
2018-11-06,1.0,1.01,0.997066,1.0,4434370,
2018-11-07,1.0,1.01,0.9932340000000001,1.0,6176500,
2018-11-08,0.9998389999999999,1.01,0.9946299999999999,0.998869,11678800,
2018-11-09,0.999345,1.01,0.993451,1.0,2118810,
2018-11-10,1.0,1.01,0.9982260000000001,1.01,2336780,
2018-11-11,1.01,1.02,0.996343,1.01,3175490,
2018-11-12,1.01,1.02,1.0,1.01,2707310,
2018-11-13,1.0,1.01,1.0,1.01,2094580,
2018-11-14,1.01,1.18,1.0,1.01,2902070,14524926.0
2018-11-15,1.01,1.03,0.9959979999999999,1.02,3293580,17452211.0
2018-11-16,1.02,1.02,1.0,1.01,6484180,25162389.0
2018-11-17,1.01,1.01,1.0,1.01,7042920,25218523.0
2018-11-18,1.01,1.02,1.0,1.01,4037410,25465545.0
2018-11-19,1.01,1.01,0.9865280000000001,1.01,7337050,23519750.0
2018-11-20,1.01,1.02,0.9890620000000001,1.01,11847300,26155911.0
2018-11-21,1.02,1.04,0.983395,1.02,13454200,28348264.0
2018-11-22,1.02,1.03,0.990627,0.9990540000000001,3557520,29618265.0
2018-11-23,1.0,1.02,0.9874040000000001,1.0,7646740,30178214.0
2018-11-24,1.01,1.02,0.956261,0.9939530000000001,3701220,29426206.0
2018-11-25,0.99279,1.03,0.970734,0.9913379999999999,10316700,28853325.0
2018-11-26,0.9918110000000001,1.02,0.9660719999999999,0.9974370000000001,3950910,30116719.0
2018-11-27,0.9837030000000001,1.02,0.970668,0.986979,10786300,31742205.0
2018-11-28,0.98915,1.05,0.9818479999999999,0.993396,17610500,35359560.0
2018-11-29,1.02,1.04,0.9805389999999999,1.02,15564131,42465191.0
2018-11-30,1.03,1.03,0.982584,1.01,16950658,45439236.0
2018-12-01,1.02,1.03,0.9978360000000001,1.01,12009910,45415113.0
2018-12-02,1.01,1.03,1.0,1.01,1387434,45426985.0
2018-12-03,1.01,1.02,0.9985950000000001,1.0,1473200,49834294.0
2018-12-04,1.0,1.02,0.999548,1.01,1466691,59930903.0
2018-12-05,1.01,1.01,0.995891,0.9996459999999999,1581109,61990896.0
2018-12-06,0.9971899999999999,1.01,0.984583,0.984856,1401547,61917341.0
2018-12-07,0.984059,1.03,0.9791799999999999,1.03,1770460,84250698.0
2018-12-08,1.02,1.03,1.01,1.02,2217177,84773287.0
2018-12-09,1.02,1.03,1.02,1.03,2290544,86716736.0
2018-12-10,1.03,1.03,1.02,1.02,1996139,89169642.0
2018-12-11,1.02,1.03,1.01,1.01,1892202,86698698.0
2018-12-12,1.01,1.02,1.01,1.01,1725511,87702734.0
2018-12-13,1.01,1.01,0.996944,1.0,1532046,89115014.0
2018-12-14,1.0,1.01,0.974316,0.985037,18150803,84542500.0
2018-12-15,0.9858040000000001,0.9951030000000001,0.9706889999999999,0.984908,18608029,85424376.0
2018-12-16,0.984759,1.01,0.9838879999999999,0.9968020000000001,30732981,88089387.0
