Date,Open,High,Low,Close,Volume,Market Cap
2018-03-06,0.9984620000000001,1.02,0.989891,1.01,10643500,
2018-03-07,0.994246,1.03,0.9798709999999999,1.0,6274620,
2018-03-08,1.0,1.02,0.982284,1.02,2401910,
2018-03-09,1.01,1.02,0.980459,0.995281,5316350,
2018-03-10,0.98421,1.02,0.978873,1.0,1606990,
2018-03-11,1.0,1.03,0.9803129999999999,1.0,2099980,
2018-03-12,1.01,1.01,0.981815,0.99219,1398700,6510676.0
2018-03-13,0.9864930000000001,1.02,0.9834370000000001,1.0,1210120,6584695.0
2018-03-14,1.0,1.02,0.979409,0.996195,1888930,6536957.0
2018-03-15,1.01,1.02,0.9843719999999999,0.9918309999999999,2610810,6525802.0
2018-03-16,0.995402,1.02,0.9844579999999999,0.9885809999999999,902615,6504418.0
2018-03-17,0.994332,1.02,0.983175,1.0,1321340,6585801.0
2018-03-18,0.998281,1.03,0.967203,0.9902190000000001,3493100,6515195.0
2018-03-19,0.96945,1.01,0.96945,1.0,2291760,6612053.0
2018-03-20,1.01,1.01,0.984926,1.0,1785010,6586261.0
2018-03-21,1.0,1.02,0.98316,0.9989299999999999,1219640,6572510.0
2018-03-22,0.9972489999999999,1.02,0.988877,1.01,2908660,6642253.0
2018-03-23,0.994568,1.02,0.9834139999999999,0.99355,2202750,6537112.0
2018-03-24,1.0,1.01,0.987376,0.9989,967029,7915398.0
2018-03-25,0.9906010000000001,1.01,0.98759,0.995833,825428,7891095.0
2018-03-26,0.994993,1.01,0.982498,1.0,2587900,7931801.0
2018-03-27,0.9985200000000001,1.02,0.989418,0.999424,2200920,7919550.0
2018-03-28,0.99256,1.02,0.9868100000000001,1.0,951963,7926175.0
2018-03-29,1.0,1.01,0.978259,1.01,2985780,7989885.0
2018-03-30,1.01,1.02,0.986757,0.9944,3017020,9421060.0
2018-03-31,1.0,1.01,0.9935129999999999,1.0,1613600,9478473.0
2018-04-01,1.0,1.02,0.992281,1.01,2178630,9533423.0
2018-04-02,1.01,1.01,0.9912690000000001,0.9973870000000001,1017440,9449359.0
2018-04-03,0.998044,1.01,0.9894149999999999,1.0,1527120,9491073.0
2018-04-04,1.0,1.02,0.992784,1.0,1664350,9605709.0
2018-04-05,1.0,1.02,0.990475,1.01,1245700,9667367.0
2018-04-06,1.01,1.02,0.9962979999999999,1.01,867908,9666984.0
2018-04-07,1.01,1.02,0.9347340000000001,1.01,802142,9641995.0
2018-04-08,1.01,1.02,0.9997209999999999,1.01,617041,9655303.0
2018-04-09,1.01,1.02,0.996886,1.01,1364890,9644975.0
2018-04-10,1.01,1.01,0.995461,0.9995620000000001,816891,9558926.0
2018-04-11,0.99951,1.01,0.9949309999999999,1.01,803442,9663623.0
2018-04-12,1.01,1.03,0.9948,1.01,3940870,9621545.0
2018-04-13,1.01,1.02,0.995964,1.01,2514640,9626518.0
2018-04-14,1.01,1.02,0.986084,1.01,3937500,9661475.0
2018-04-15,1.01,1.02,0.99379,1.0,3089420,9603749.0
2018-04-16,1.0,1.01,0.994757,0.998114,2861680,9764664.0
2018-04-17,0.9985729999999999,1.01,0.990441,0.9948799999999999,1665870,9733025.0
2018-04-18,0.9997739999999999,1.02,0.9863729999999999,1.0,1883270,9823715.0
2018-04-19,1.01,1.01,0.99065,0.99871,1474770,9760507.0
2018-04-20,1.01,1.01,0.984619,0.991088,1856480,9686017.0
2018-04-21,0.989886,1.01,0.9879370000000001,1.01,1920660,9857457.0
2018-04-22,1.0,1.01,0.98588,0.998857,1184730,9761944.0
2018-04-23,0.9918110000000001,1.0,0.986597,0.996925,825197,9743062.0
2018-04-24,0.99136,1.0,0.952299,1.0,1494160,12064531.0
2018-04-25,0.995182,1.01,0.985791,0.99615,3664970,11966864.0
2018-04-26,1.0,1.01,0.993067,1.01,1607780,12091801.0
2018-04-27,1.01,1.01,0.991058,0.997251,1747910,11980091.0
2018-04-28,1.0,1.02,0.989707,1.01,729946,12066179.0
2018-04-29,1.01,1.01,0.991974,0.9948379999999999,1297700,11936571.0
2018-04-30,0.994559,1.01,0.9877440000000001,0.999102,751246,11987733.0
2018-05-01,0.999409,1.01,0.991028,0.99772,1040720,11971151.0
2018-05-02,0.996239,1.01,0.992028,0.995539,802290,11944982.0
