Date,Open,High,Low,Close,Volume,Market Cap
2019-02-06,0.985301,1.03,0.985301,1.01,131485,
2019-02-07,1.02,1.02,0.9976459999999999,1.01,16431,
2019-02-08,1.01,1.02,1.0,1.02,281456,
2019-02-09,1.02,1.02,1.0,1.01,196983,
2019-02-10,1.01,1.03,1.01,1.01,131070,
2019-02-11,1.01,1.02,1.01,1.02,96944,
2019-02-12,1.02,1.05,1.01,1.02,121654,
2019-02-13,1.02,1.02,1.01,1.02,48503,5869275.0
2019-02-14,1.01,1.03,1.01,1.01,344471,5855391.0
2019-02-15,1.01,1.02,1.01,1.01,797450,5852212.0
2019-02-16,1.01,1.02,1.01,1.01,362273,5858577.0
2019-02-17,1.01,1.02,1.01,1.01,949883,5855493.0
2019-02-18,1.01,1.02,1.01,1.01,1643891,5861595.0
2019-02-19,1.01,1.02,1.01,1.01,662619,5861844.0
2019-02-20,1.01,1.02,1.01,1.02,1196893,5891231.0
2019-02-21,1.02,1.02,1.01,1.02,1971578,5823733.0
2019-02-22,1.01,1.02,1.01,1.01,1540037,5515028.0
2019-02-23,1.02,1.02,1.01,1.01,1544983,5416148.0
2019-02-24,1.01,1.04,1.01,1.02,3951166,5451819.0
2019-02-25,1.02,1.02,1.01,1.02,1191195,5448356.0
2019-02-26,1.01,1.02,1.01,1.01,493382,5436600.0
2019-02-27,1.02,1.02,1.01,1.01,1411525,5441300.0
2019-02-28,1.01,1.02,1.01,1.01,1042425,5440768.0
2019-03-01,1.01,1.02,1.01,1.01,453274,5421279.0
2019-03-02,1.01,1.02,1.01,1.01,582673,5923251.0
2019-03-03,1.01,1.02,1.01,1.01,517839,5936141.0
2019-03-04,1.01,1.02,1.01,1.01,993941,5932851.0
2019-03-05,1.01,1.02,1.01,1.02,878978,5944798.0
2019-03-06,1.02,1.02,1.01,1.01,738314,5930502.0
2019-03-07,1.01,1.02,1.01,1.01,929082,5928436.0
2019-03-08,1.01,1.02,1.01,1.01,1535303,5939054.0
2019-03-09,1.01,1.02,1.01,1.01,1057465,5922188.0
2019-03-10,1.01,1.02,1.01,1.01,427593,5925461.0
2019-03-11,1.01,1.02,1.01,1.01,835574,5930644.0
2019-03-12,1.01,1.02,1.01,1.01,988285,5919297.0
2019-03-13,1.01,1.02,1.01,1.01,344010,5845048.0
2019-03-14,1.01,1.02,1.01,1.02,1185315,5868159.0
2019-03-15,1.02,1.02,1.01,1.02,462950,5859053.0
2019-03-16,1.02,1.02,1.01,1.01,911655,5855436.0
2019-03-17,1.01,1.02,1.01,1.01,435239,5854507.0
2019-03-18,1.01,1.02,1.01,1.02,533102,5764925.0
2019-03-19,1.02,1.02,1.01,1.02,454129,5779284.0
2019-03-20,1.02,1.02,1.01,1.01,501121,5754912.0
2019-03-21,1.01,1.02,1.01,1.01,1345328,5746039.0
2019-03-22,1.01,1.02,1.01,1.01,946692,5728327.0
2019-03-23,1.01,1.01,1.01,1.01,887335,5749276.0
2019-03-24,1.01,1.01,1.01,1.01,799871,5739001.0
2019-03-25,1.01,1.02,1.01,1.01,1120206,5760950.0
2019-03-26,1.02,1.02,1.01,1.02,551365,5764041.0
2019-03-27,1.02,1.02,1.01,1.02,712221,5768194.0
2019-03-28,1.02,1.02,1.01,1.01,374858,5757099.0
2019-03-29,1.01,1.02,0.999726,1.0,585811,5688301.0
2019-03-30,1.0,1.05,0.9963780000000001,1.0,488381,5693608.0
2019-03-31,1.0,1.01,1.0,1.0,247593,5685566.0
2019-04-01,1.0,1.01,0.998293,1.0,860655,5697699.0
2019-04-02,1.0,1.01,0.965802,0.9980680000000001,6833717,6313670.0
2019-04-03,0.9980680000000001,1.02,0.989031,0.9982559999999999,3946738,6314859.0
2019-04-04,0.997448,1.01,0.9970100000000001,1.0,1479917,6250999.0
2019-04-05,1.0,1.01,0.999183,1.0,937056,6236117.0
