Date,Open,High,Low,Close,Volume,Market Cap
2018-01-09,2320.38,2361.18,1802.54,2078.53,824201,
2018-01-10,2074.65,2307.14,1585.79,1897.53,1561060,
2018-01-11,1891.17,2327.16,1816.43,1859.1,657860,
2018-01-12,2087.52,2387.6,1872.4,2154.66,1185560,
2018-01-13,1910.4,2309.77,1652.74,2143.99,1612810,
2018-01-14,2150.27,2339.49,1998.54,2090.81,539734,
2018-01-15,2097.79,2281.38,1913.2,1923.57,435556,
2018-01-16,1923.18,1923.18,1242.67,1466.63,466355,
2018-01-17,1453.46,1627.75,1132.74,1514.93,812616,
2018-01-18,1510.13,1847.56,1492.03,1674.71,375385,
2018-01-19,1644.18,1736.76,1417.99,1653.61,2050610,
2018-01-20,1681.75,2148.99,1681.75,2067.79,808956,
2018-01-21,2080.14,2104.06,1657.46,1803.91,459668,
2018-01-22,1821.55,2096.78,1749.97,1894.35,1126980,
2018-01-23,1878.22,1975.78,1619.9,1824.64,275412,
2018-01-24,1817.08,1930.8,1787.88,1904.26,259634,
2018-01-25,1925.83,2195.1,1850.04,1964.94,299174,
2018-01-26,1958.83,2008.43,1786.94,1924.08,199160,
2018-01-27,1921.15,1999.27,1878.18,1933.98,237450,
2018-01-28,1948.55,2057.05,1933.15,2011.3,363230,
2018-01-29,2027.94,2040.34,1829.8,1867.24,438107,
2018-01-30,1870.82,1870.82,1530.5,1558.96,359832,
2018-01-31,1584.51,1642.76,1448.49,1596.2,687644,
2018-02-01,1605.54,1644.22,1324.88,1365.94,386878,
2018-02-02,1365.33,1374.69,1016.31,1255.22,740762,
2018-02-03,1271.15,1352.26,1171.39,1249.2,299537,
2018-02-04,1249.46,1291.13,1038.26,1042.98,116435,
2018-02-05,1030.97,1088.13,809.34,824.68,237390,
2018-02-06,826.89,930.58,671.66,916.15,172627,
2018-02-07,912.6,1016.78,852.78,887.02,182429,
2018-02-08,886.57,985.99,879.47,905.57,207583,
2018-02-09,907.98,1023.32,876.86,1016.91,90461,
2018-02-10,1016.99,1035.09,871.4,908.02,183103,
2018-02-11,907.73,907.73,799.14,803.96,133993,
2018-02-12,805.65,883.17,785.26,820.73,235013,
2018-02-13,821.1,825.95,716.55,738.16,243942,
