Date,Open,High,Low,Close,Volume,Market Cap
2014-08-05,0.0029760000000000003,0.003387,0.002349,0.00244,30316,767679
2014-08-06,0.002373,0.0034020000000000005,0.0022660000000000002,0.002657,35820,966370
2014-08-07,0.002686,0.003042,0.002455,0.002501,142864,1079148
2014-08-08,0.002493,0.003243,0.002493,0.002881,93708,1260109
2014-08-09,0.002884,0.00371,0.002873,0.003481,233579,1645185
2014-08-10,0.0034969999999999997,0.00762,0.003363,0.004303,352737,2216012
2014-08-11,0.004566,0.005065,0.0035909999999999996,0.0035909999999999996,479942,2273974
2014-08-12,0.003592,0.003679,0.002503,0.002659,345441,2271970
2014-08-13,0.0026190000000000002,0.003215,0.00257,0.002773,256302,2589318
2014-08-14,0.002763,0.00285,0.002482,0.0025399999999999997,169177,2487701
2014-08-15,0.002566,0.0026100000000000003,0.002357,0.002403,135243,2431616
2014-08-16,0.0024010000000000004,0.002532,0.002231,0.002525,116834,2594831
2014-08-17,0.002507,0.002545,0.002299,0.002337,61889,2421905
2014-08-18,0.002336,0.002368,0.001928,0.002025,104237,2111935
2014-08-19,0.0020280000000000003,0.002224,0.001998,0.002224,66941,2319685
2014-08-20,0.002223,0.0025210000000000002,0.002221,0.002496,96584,2603229
2014-08-21,0.0024879999999999998,0.002624,0.002329,0.0023899999999999998,76029,2493230
2014-08-22,0.002392,0.002408,0.0022719999999999997,0.002355,50589,2456523
2014-08-23,0.002358,0.002388,0.002222,0.0022370000000000003,43776,2333756
2014-08-24,0.0022370000000000003,0.002293,0.0022010000000000003,0.002232,37470,2328447
2014-08-25,0.002236,0.002242,0.002175,0.002221,38512,2316639
2014-08-26,0.002221,0.002338,0.002221,0.002315,99823,2414349
2014-08-27,0.002281,0.002328,0.002268,0.002273,60132,2371028
2014-08-28,0.00227,0.002316,0.002109,0.00218,90044,2274496
2014-08-29,0.002184,0.002257,0.002164,0.002211,43049,2305894
2014-08-30,0.002218,0.00224,0.002186,0.002195,39116,2290049
2014-08-31,0.0021899999999999997,0.002215,0.002048,0.002061,22844,2149456
2014-09-01,0.002061,0.002098,0.001999,0.00201,27975,2096569
2014-09-02,0.002008,0.002034,0.001984,0.001999,23793,2085616
2014-09-03,0.001998,0.002101,0.001994,0.002059,36081,2296311
2014-09-04,0.002059,0.002177,0.002041,0.00213,58031,2385989
2014-09-05,0.00213,0.002134,0.00207,0.002082,26119,2342120
2014-09-06,0.002082,0.002107,0.002058,0.002081,31676,2352618
