Date,Open,High,Low,Close,Volume,Market Cap
2014-05-21,2.47,2.65,1.23,1.6,246540,1382563
2014-05-22,1.59,2.19,1.36,2.1,132918,1855608
2014-05-23,2.05,3.43,2.05,2.96,266852,2692180
2014-05-24,2.92,4.01,2.62,3.7,248028,3456658
2014-05-25,4.04,4.04,2.8,3.14,283545,2993339
2014-05-26,3.22,3.76,2.31,3.02,220148,2946133
2014-05-27,3.03,3.03,2.07,2.21,97603,2199816
2014-05-28,2.24,2.85,1.91,2.27,177716,2315318
2014-05-29,2.21,2.49,1.68,1.68,109157,1742652
2014-05-30,1.68,1.87,1.08,1.57,119296,1667566
2014-05-31,1.58,2.28,1.41,1.94,117399,2113585
2014-06-01,1.94,2.57,1.54,1.74,130602,1934459
2014-06-02,1.76,1.94,1.6,1.73,47672,1964407
2014-06-03,1.73,2.1,1.65,1.93,91332,2238383
2014-06-04,1.93,1.99,1.71,1.81,51886,2136583
2014-06-06,1.46,1.51,1.17,1.24,100635,1524539
2014-06-07,1.24,1.69,1.21,1.36,44187,1702750
2014-06-08,1.36,1.44,1.24,1.34,40634,1701813
2014-06-09,1.33,1.64,1.27,1.52,56500,1976719
2014-06-10,1.48,2.39,1.31,1.73,182599,2281224
2014-06-11,1.72,2.17,1.53,1.62,85735,2177571
2014-06-12,1.62,2.17,1.53,1.74,108619,2371184
2014-06-13,1.65,1.96,1.62,1.92,84237,2674777
2014-06-14,1.93,2.82,1.88,2.34,276919,3312123
2014-06-15,2.32,2.75,2.25,2.69,150652,3863688
2014-06-16,2.72,3.55,2.62,3.18,438776,4648756
2014-06-17,3.15,3.31,2.72,2.82,228445,4180469
2014-06-18,2.9,2.98,2.46,2.79,183102,4201540
2014-06-19,2.78,3.52,2.68,3.13,283962,4792101
2014-06-20,3.17,4.59,3.12,4.56,543764,7084429
2014-06-21,4.33,5.85,4.14,5.01,723077,7903316
2014-06-22,4.98,5.21,4.02,4.35,491984,6961750
2014-06-23,4.28,4.82,3.77,3.98,433301,6465327
2014-06-24,3.93,4.07,2.96,3.28,150995,5397287
2014-06-25,3.23,3.39,2.63,3.39,217183,5647799
2014-06-26,3.28,3.38,2.8,2.89,117740,4896391
2014-06-27,2.98,3.0,2.07,2.2,250643,3771736
2014-06-28,2.32,2.9,2.25,2.55,184970,4437897
2014-06-29,2.55,2.76,2.26,2.54,138511,4480587
2014-06-30,2.55,2.7,2.44,2.5,124575,4468632
2014-07-01,2.51,2.65,2.34,2.35,98540,4239457
2014-07-02,2.34,2.54,2.26,2.31,101095,4230609
2014-07-03,2.31,2.82,2.23,2.64,168532,4897315
2014-07-04,2.64,3.0,2.54,2.64,148555,4959604
2014-07-05,2.64,2.64,2.44,2.47,68525,4689117
2014-07-06,2.47,2.48,2.29,2.4,77663,4605920
2014-07-07,2.4,2.4,1.95,1.99,111370,3865612
2014-07-08,1.98,2.36,1.97,2.35,94993,4618190
2014-07-09,2.3,2.31,1.99,2.01,69554,3993540
2014-07-10,2.03,2.09,1.86,1.89,89099,3804552
2014-07-11,1.86,1.92,1.72,1.79,116666,3648753
2014-07-12,1.79,1.94,1.72,1.73,65375,3559242
2014-07-13,1.73,1.97,1.46,1.79,122049,3716083
2014-07-14,1.79,1.99,1.62,1.97,100284,4138484
2014-07-15,1.95,2.2,1.79,2.11,136205,4482636
2014-07-16,2.16,2.93,2.05,2.71,353430,5805942
2014-07-17,2.71,3.58,2.64,2.98,503684,6458303
2014-07-18,3.03,3.29,2.46,2.62,348336,5750090
2014-07-19,2.59,3.07,2.54,2.88,169471,6371127
2014-07-20,2.88,2.93,2.58,2.63,116853,5885039
2014-07-21,2.67,3.14,2.65,3.09,243140,6965026
2014-07-22,3.09,3.32,3.01,3.2,262049,7297673
2014-07-23,3.2,3.24,2.84,2.91,274946,6710389
2014-07-24,2.92,2.97,2.28,2.36,292547,5492442
2014-07-25,2.37,2.71,2.31,2.71,182887,6370454
2014-07-26,2.7,2.77,2.51,2.62,125320,6212268
2014-07-27,2.62,2.65,2.45,2.55,111827,6098665
2014-07-28,2.55,2.7,2.42,2.7,141903,6505516
2014-07-29,2.7,2.8,2.56,2.62,272756,6371660
2014-07-30,2.62,2.63,2.5,2.54,79830,6232374
2014-07-31,2.52,2.64,2.49,2.55,111065,6324974
2014-08-01,2.57,2.67,2.49,2.67,145177,6670823
2014-08-02,2.67,2.73,2.5,2.5,101031,6299821
2014-08-03,2.5,2.5,2.25,2.36,144327,6005348
2014-08-04,2.36,37.78,1.99,2.01,234647,5144309
2014-08-05,2.01,2.2,1.98,2.15,94391,5571028
2014-08-06,2.2,2.28,2.13,2.19,76411,5713761
2014-08-07,2.19,2.24,2.1,2.14,88304,5632412
2014-08-08,2.14,2.21,2.11,2.18,87502,5778158
2014-08-09,2.17,2.18,2.08,2.1,72351,5621495
2014-08-10,2.05,2.12,1.99,2.06,80847,5538113
2014-08-11,2.04,2.17,1.93,2.08,132234,5648054
2014-08-12,2.08,2.1,1.97,2.0,114580,5464534
2014-08-13,2.0,2.04,1.83,1.9,89506,5239571
2014-08-14,1.91,1.92,1.69,1.76,99815,4882408
2014-08-15,1.78,1.8,1.52,1.59,182760,4406305
2014-08-16,1.59,1.61,1.49,1.6,82703,4447134
2014-08-17,1.6,1.65,1.42,1.46,72244,4042619
2014-08-18,1.47,1.65,1.34,1.45,108222,4013357
2014-08-19,1.45,1.65,1.39,1.65,98273,4773158
2014-08-20,1.66,1.96,1.61,1.83,286655,5326797
2014-08-21,1.84,1.9,1.78,1.82,141302,5317373
2014-08-22,1.82,1.9,1.75,1.78,118268,5256862
2014-08-23,1.78,1.86,1.73,1.81,81316,5388456
2014-08-24,1.81,1.97,1.81,1.95,113086,5825920
2014-08-25,1.95,2.08,1.89,2.05,179315,6173347
2014-08-26,2.09,2.1,1.9,2.01,191411,6111238
2014-08-27,2.01,2.04,1.94,2.01,125364,6142537
2014-08-28,2.0,2.24,2.0,2.21,246829,6799561
2014-08-29,2.18,2.28,2.14,2.21,219724,6839124
2014-08-30,2.21,2.49,2.19,2.44,270668,7622035
2014-08-31,2.43,2.56,2.1,2.17,308396,6814766
2014-09-01,2.17,2.28,1.97,2.04,268279,6443261
2014-09-02,2.05,2.07,1.89,1.96,218797,6222440
2014-09-03,1.95,2.09,1.9,2.03,153437,6505176
2014-09-04,2.03,2.16,1.88,2.05,186620,6595445
2014-09-05,2.05,2.11,1.86,1.98,168193,6410296
2014-09-06,1.98,2.0,1.9,1.95,120274,6354885
2014-09-07,1.94,1.97,1.84,1.88,151671,6163731
2014-09-08,1.88,1.92,1.79,1.87,158829,6192641
2014-09-09,1.88,1.89,1.75,1.77,129058,5875316
2014-09-10,1.77,2.08,1.76,1.97,280005,6580230
2014-09-11,1.97,2.07,1.92,1.94,173065,6542356
2014-09-12,1.94,2.0,1.82,1.88,166282,6360671
2014-09-13,1.88,1.89,1.79,1.85,156820,6308176
2014-09-14,1.85,1.89,1.79,1.82,123269,6242057
2014-09-15,1.82,1.91,1.81,1.9,132403,6542367
2014-09-16,1.9,1.91,1.83,1.84,149855,6398311
2014-09-17,1.84,1.9,1.65,1.77,291633,6168741
2014-09-18,1.74,1.74,1.5,1.57,253082,5509216
2014-09-19,1.57,1.59,1.38,1.45,171739,5135864
2014-09-20,1.44,1.57,1.17,1.27,362626,4515326
2014-09-21,1.27,1.41,1.17,1.27,239591,4550686
2014-09-22,1.27,1.34,1.21,1.26,137822,4529752
2014-09-23,1.26,1.5,1.23,1.47,205229,5293283
2014-09-24,1.46,1.56,1.45,1.51,122748,5467366
2014-09-25,1.5,1.51,1.39,1.4,126179,5100759
2014-09-26,1.4,1.46,1.32,1.39,81632,5091837
2014-09-27,1.38,1.39,1.28,1.31,95657,4823060
2014-09-28,1.31,1.37,1.21,1.22,84413,4528356
2014-09-29,1.22,1.23,1.14,1.15,83902,4289440
2014-09-30,1.16,1.25,1.14,1.22,82094,4578165
2014-10-01,1.21,1.22,1.17,1.2,65140,4526496
2014-10-02,1.22,1.22,1.18,1.19,61824,4510961
2014-10-03,1.18,1.18,1.07,1.1,113844,4198178
2014-10-04,1.09,1.13,0.966409,0.977628,65894,3747385
2014-10-05,0.977117,1.01,0.786768,0.879503,86073,3388833
2014-10-06,0.8786790000000001,0.9965299999999999,0.805445,0.9797030000000001,65377,3794550
2014-10-07,0.9804930000000001,1.01,0.90069,1.0,68252,3910828
2014-10-08,1.0,1.11,0.949084,1.09,116352,4258277
2014-10-09,1.09,1.16,1.05,1.11,66785,4346737
2014-10-10,1.1,1.15,1.04,1.14,121420,4508428
2014-10-11,1.14,1.15,1.06,1.08,81876,4277277
2014-10-12,1.08,1.1,1.04,1.09,58972,4331218
2014-10-13,1.08,1.13,1.02,1.1,92059,4426440
2014-10-14,1.1,1.16,1.07,1.07,63787,4331020
2014-10-15,1.08,1.08,0.9110030000000001,0.9908110000000001,104550,4013397
2014-10-16,0.9869540000000001,1.03,0.9183399999999999,0.999458,59154,4067599
2014-10-17,0.998718,0.998718,0.9188569999999999,0.973198,63034,3979924
2014-10-18,0.973584,1.0,0.948108,0.96583,60842,3969072
2014-10-19,0.965568,1.01,0.958882,0.9944360000000001,47858,4105863
2014-10-20,0.995676,1.01,0.916824,0.9503940000000001,86281,3942141
2014-10-21,0.952061,0.979182,0.932976,0.9577829999999999,50963,3990938
2014-10-22,0.956909,0.992102,0.9427469999999999,0.946716,63727,3963252
2014-10-23,0.942326,0.9461930000000001,0.725042,0.8654959999999999,97124,3640395
2014-10-24,0.842075,0.8599680000000001,0.744815,0.762157,52867,3220890
2014-10-25,0.763826,0.771308,0.671765,0.7398020000000001,54596,3140366
2014-10-26,0.74026,0.75317,0.685867,0.6944020000000001,37577,2960783
2014-10-27,0.697623,0.774522,0.603494,0.722831,141319,3092662
2014-10-28,0.704975,0.729839,0.6046159999999999,0.689257,82389,2964700
2014-10-29,0.687775,0.699246,0.621768,0.6330600000000001,23967,2735479
2014-10-30,0.632047,0.664415,0.590307,0.614064,48427,2665311
2014-10-31,0.61369,0.6401140000000001,0.598314,0.607218,37303,2647634
2014-11-01,0.607123,0.638227,0.571454,0.585832,33872,2565702
2014-11-02,0.586417,0.586417,0.561821,0.579494,26877,2548848
2014-11-03,0.577925,0.59926,0.551178,0.5763229999999999,40900,2545525
2014-11-04,0.575828,0.582737,0.545748,0.547635,42253,2429485
2014-11-05,0.547942,0.5846439999999999,0.547942,0.571982,25458,2545309
2014-11-06,0.5708340000000001,0.597075,0.5568069999999999,0.595903,28528,2651757
2014-11-07,0.590278,0.6194850000000001,0.5783229999999999,0.616295,29987,2769965
2014-11-08,0.619835,0.658196,0.5936680000000001,0.643877,40713,2904958
2014-11-09,0.643598,0.7213689999999999,0.6340680000000001,0.7213689999999999,44247,3268074
2014-11-10,0.71667,0.762476,0.69292,0.735697,67836,3347478
2014-11-11,0.734491,0.746636,0.6919609999999999,0.717955,30147,3279833
2014-11-12,0.718542,0.763825,0.6951579999999999,0.73232,75047,3359471
2014-11-13,0.7356739999999999,0.773504,0.665388,0.70453,41143,3245009
2014-11-14,0.700665,0.701875,0.643252,0.689225,65338,3188265
2014-11-15,0.692307,0.7054060000000001,0.625895,0.641145,31336,2977698
2014-11-16,0.638882,0.6576770000000001,0.626272,0.6545310000000001,27107,3051899
2014-11-17,0.651929,0.676593,0.556251,0.58478,152764,2737847
