stable.coin,cur.cap,time,m.vol,down.risk,val.risk,max.spr,max.dr,exp.short,w.m.p,w.m.var
USDT,21.84433231,7.340186835,21.28028373,0.003929427,-0.00990099,0.010770311,0.104959259,-0.018589756,1.00108396,0.000125215
TUSD,19.30449047,6.098074282,17.55490683,0.006094128,-0.00990099,0.01865335,0.096646789,-0.018621192,1.008952482,7.62E-05
GUSD,16.92030206,5.442417711,17.15565327,0.008673535,-0.010368179,0.024042737,0.126379646,-0.02372577,1.005851501,0.0001207
SUSD,14.17608359,5.752572639,10.86490895,0.021195035,-0.048472863,0.063878835,0.216073394,-0.077529902,0.975640396,0.000931369
USDC,19.70403307,5.429345629,17.61370274,0.004904578,-0.00990099,0.017094865,0.041803846,-0.018871888,1.00887408,6.11E-05
PAX,18.9882995,5.476463552,18.14675617,0.003600454,-0.009803922,0.014315738,0.03765098,-0.010817767,1.007579677,4.88E-05
DAI,18.20264387,6.242223265,16.199623,0.00955169,-0.019607843,0.036560988,0.104276415,-0.03305339,0.999939447,0.000169479
SBD,16.00542448,6.946975992,14.90294907,0.049515558,-0.093626683,0.281534213,0.961231831,-0.164087141,1.68566906,3.251499498
CKUSD,16.43895891,6.013715156,18.93390383,0.020610999,-0.045317141,0.041744998,0.319365455,-0.070114824,0.961007814,0.003428082
BITUSD,15.27458571,7.44132039,13.0486865,0.032410591,-0.062499657,0.103226304,0.777416592,-0.101692499,1.002097704,0.008319684
