Date,USDT,TUSD,GUSD,SUSD,USDC,PAX,DAI,SBD,CKUSD,BITUSD
2018/10/9,0.996779,1.01,1,0.989303,1.01,1.01,0.997877,0.995975,0.988337,1.01
2018/10/10,0.993502,1.01,1,0.983419,1.01,1.01,0.997104,0.993971,0.982273,0.995411
2018/10/11,0.993026,1.02,0.997064,0.996893,1.01,1.01,0.995635,1.03,0.976773,0.98877
2018/10/12,0.994102,1.01,1,0.989439,1.01,1.01,0.995594,1.01,0.981029,1
2018/10/13,0.988046,1.02,1.01,0.984507,1.01,1.01,0.990107,1,0.975174,1.03
2018/10/14,0.98957,1.03,1.01,0.987356,1.02,1.02,0.998915,1.02,0.959898,1
2018/10/15,0.980138,1.03,1.03,1.01,1.03,1.02,1.01,1.01,0.989547,1.03
2018/10/16,0.975152,1.03,1.02,0.980803,1.02,1.02,1.01,1.04,1.01,1.01
2018/10/17,0.971225,1.02,1.02,0.995633,1.01,1.01,0.997244,1.03,1.01,1.01
2018/10/18,0.980858,1.01,1.01,0.988766,1.01,1.01,0.986425,0.994177,1.01,1.01
2018/10/19,0.987712,1.01,1.01,0.993779,1.01,1.01,0.994802,0.997982,1.01,1.01
2018/10/20,0.983831,1.01,1.01,0.990605,1.01,1.01,1.02,1.01,1.01,1.01
2018/10/21,0.983548,1.02,1.01,0.999795,1.01,1.01,1.02,1,1.01,1
2018/10/22,0.983998,1.01,1,0.988416,1.01,1.01,1.02,0.997673,1,1.01
2018/10/23,0.987962,1.01,1.01,1,1.01,1.01,1.02,0.989366,1.01,1.01
2018/10/24,0.988612,1.01,1.01,0.997678,1.01,1.01,1.01,0.996846,1.01,1.01
2018/10/25,0.988791,1.01,1.01,0.997862,1.01,1.01,1.01,0.989191,1,1.01
2018/10/26,0.989789,1.01,1.01,1,1.01,1.01,1.01,0.979527,1.01,1.01
2018/10/27,0.993097,1.01,1.01,1,1.01,1.01,1.01,0.976063,1.02,1.01
2018/10/28,0.998453,1.01,1.02,1,1.01,1.01,1.01,0.980568,1.03,1.01
2018/10/29,0.996859,1.01,1.01,0.998286,1.01,1.01,1,0.96059,1.01,0.997708
2018/10/30,0.996671,1.01,1,0.999642,1,1,1,0.96007,1.01,0.997912
2018/10/31,0.988122,0.998645,0.994785,0.991367,0.996386,0.998539,0.991646,0.968411,0.999912,1
2018/11/1,0.99172,1.01,1.01,1,0.992502,1.01,1.02,0.977713,1,1.01
2018/11/2,0.993501,1,1,0.995153,0.999969,0.9993,0.995856,0.985138,1,1
2018/11/3,0.999433,1,1,0.997823,1,0.998166,1,0.984332,1.01,0.994567
2018/11/4,0.988708,0.984655,0.987659,0.986195,0.997669,0.981596,0.988937,0.984579,1,0.987226
2018/11/5,0.993176,0.999527,0.999499,0.993181,0.998748,0.995909,0.994001,0.967622,1.01,0.999569
2018/11/6,0.992796,0.999308,1,0.995457,1,0.996409,0.987118,0.979538,1.02,0.99794
2018/11/7,0.99327,1,1,0.997865,1,0.996607,0.997817,0.989225,1.01,0.997266
2018/11/8,0.994333,1,0.998869,1,1,0.999982,0.999639,0.975999,1,0.994606
2018/11/9,0.994832,1.01,1,0.997189,1.01,1,1.01,0.969523,1,0.999433
2018/11/10,0.99718,1.01,1.01,1,1.01,1,1,0.972435,1.01,1.01
2018/11/11,0.990462,1,1.01,1,1.01,0.99875,1,0.972459,1,1.01
2018/11/12,0.989148,1.01,1.01,0.998437,1.01,1,0.998921,0.977706,0.998365,1
2018/11/13,0.985118,1.01,1.01,1,1.01,1.01,1.01,0.976814,0.997735,1
2018/11/14,0.966644,1.01,1.01,0.980179,1.02,1.01,0.98683,0.936387,0.95277,1.01
2018/11/15,0.982022,1.02,1.02,0.991271,1.02,1.01,0.992695,0.938654,0.981246,1
2018/11/16,0.987027,1.01,1.01,0.994926,1.03,1.01,0.987886,0.952314,0.980173,1.02
2018/11/17,0.985869,1.01,1.01,0.985985,1.01,1,0.995261,0.958827,0.980734,1.01
2018/11/18,0.992533,1.01,1.01,1,1.01,1.01,0.999093,0.960375,0.992115,1
2018/11/19,0.98273,1.01,1.01,0.986879,1.02,1.01,0.992815,0.912263,0.963038,0.968036
2018/11/20,0.968799,1.02,1.01,0.99015,1.02,1.01,1.01,0.817369,0.962279,0.984647
2018/11/21,0.987504,1.01,1.02,0.968308,1.01,1.01,1,0.858798,0.975011,1.02
2018/11/22,0.998188,1.02,0.999054,0.982132,1.02,1.02,1,0.839403,0.972146,0.979479
2018/11/23,0.98257,1.01,1,0.993617,1.02,1.01,1.01,0.86665,0.992469,0.999859
2018/11/24,0.980224,1.02,0.993953,0.956075,1.02,1.01,1.01,0.865328,0.935643,0.996027
2018/11/25,0.980969,1.02,0.991338,0.980375,1.03,1.02,1.01,0.830872,0.965377,0.951352
2018/11/26,0.977243,1.01,0.997437,0.967816,1.04,1.01,1.01,0.810501,0.964737,0.919865
2018/11/27,0.98426,1.01,0.986979,0.994856,1.01,1.01,0.997195,0.777986,0.976133,0.921402
2018/11/28,0.998622,1.01,0.993396,0.996896,1.01,1.01,1,0.844439,0.981349,0.988266
2018/11/29,0.997377,1.01,1.02,0.980698,1.01,1.01,1,0.842715,0.9796,0.989006
2018/11/30,0.991823,1.01,1.01,0.947195,1.01,1.01,1,0.819594,0.962299,0.950934
2018/12/1,1,1.02,1.01,0.974858,1.01,1.02,1.01,0.831106,1.01,0.969225
2018/12/2,0.998372,1.02,1.01,0.975669,1.01,1.01,0.999485,0.833796,1.01,0.959504
2018/12/3,0.996594,1.01,1,0.991759,1.01,1.01,0.996607,0.802436,0.962154,0.952631
2018/12/4,1,1.02,1.01,0.992846,1.01,1.01,1,0.798152,0.985376,0.936959
2018/12/5,0.992966,1.01,0.999646,0.991176,1.01,1.01,1,0.741585,0.961258,0.879067
2018/12/6,0.998296,1.02,0.984856,0.973376,1.02,1.01,1.02,0.648343,0.952905,0.729532
2018/12/7,1,1.01,1.03,0.994595,1.01,1,1.02,0.602117,0.961529,0.704475
2018/12/8,1.02,1.02,1.02,0.997654,1.02,1.02,1.03,0.616186,1.01,0.777816
2018/12/9,1.02,1.02,1.03,0.999556,1.02,1.02,1.03,0.620398,0.989265,0.755001
2018/12/10,1.02,1.02,1.02,0.993724,1.02,1.01,1.03,0.608604,0.947848,0.723284
2018/12/11,1.01,1.02,1.01,0.996252,1.02,1.01,1.05,0.603359,0.982577,0.707004
2018/12/12,1.01,1.02,1.01,0.998696,1.02,1.01,1.03,0.606463,0.998849,0.741556
2018/12/13,1,1.02,1,0.998173,1.02,1,1.02,0.563204,0.964161,0.718759
2018/12/14,1,1.01,0.985037,0.995559,1.02,1,1.02,0.547427,0.955661,0.69924
2018/12/15,1,1.02,0.984908,0.969141,0.99794,1.01,1.02,0.5582,0.970868,0.70789
2018/12/16,1.01,1.02,0.996802,0.959894,1.01,1.01,1.02,0.53345,0.976217,0.692106
2018/12/17,1.01,1.02,1.08,0.991869,1.01,1.01,1.06,0.559334,1.02,0.767143
2018/12/18,1.01,1.01,1.13,1.01,1.01,1.01,1.01,0.580215,1.05,0.763033
2018/12/19,1.02,1.02,1.02,0.986874,1.02,1.02,1.01,0.601997,1.01,0.768202
2018/12/20,1.02,1.02,1.02,0.98556,1.02,1.01,1.01,0.66945,1.01,0.812961
2018/12/21,1.02,1.02,1.01,0.980505,1.02,1.01,1.01,0.640656,1,0.828852
2018/12/22,1.02,1.01,1.01,0.982687,1.01,1.01,1.01,0.71834,1.02,0.843756
2018/12/23,1.02,1.01,1.01,0.869553,1.01,1.01,0.998809,0.717177,1.04,0.865364
2018/12/24,1.02,1.01,1,0.986859,1.01,1.01,1.01,0.74024,1.05,0.912728
2018/12/25,1.02,1.01,1.01,0.985144,1.01,1.01,1,0.67828,0.984787,0.81033
2018/12/26,1.02,1.01,1.01,0.993094,1.01,1.01,1,0.698322,1.01,0.760403
2018/12/27,1.02,1.02,1,0.923383,1.02,1.01,1.02,0.657531,0.96688,0.7959
2018/12/28,1.02,1.01,1.01,0.998477,1.01,1.01,1.01,0.707359,1.08,0.886748
2018/12/29,1.03,1.02,1.01,0.884145,1.02,1.02,1.01,0.71487,1.01,0.807723
2018/12/30,1.02,1.01,1.01,0.99107,1.01,1.01,1.01,0.732215,1.01,0.766273
2018/12/31,1.01,1.01,1,0.99182,1.02,1.01,1.01,0.690061,0.989295,0.751036
2019/1/1,1.02,1.01,1.01,1,1.01,1.01,1.01,0.738312,1.01,0.780532
2019/1/2,1.02,1.02,1.01,0.970921,1.02,1.02,1.01,0.750167,1.05,0.812963
2019/1/3,1.02,1.01,1.01,0.979756,1.01,1.01,1.01,0.755152,1,0.779887
2019/1/4,1.02,1.01,1,0.91253,1.01,1.01,1.01,0.756543,1.01,0.780572
2019/1/5,1.02,1.01,1,0.995751,1.01,1.01,1.01,0.75532,0.995079,0.773395
2019/1/6,1.02,1.01,1.01,0.998896,1.01,1.01,1.01,0.787474,1.03,0.833543
2019/1/7,1.01,1.01,0.993792,0.977297,1.01,1.01,1.01,0.805036,1,0.80795
2019/1/8,1.02,1.01,0.999225,0.969366,1.01,1.01,1,0.830034,0.997412,0.857041
2019/1/9,1.02,1.01,0.996858,0.981938,1,1.01,0.988245,0.843628,0.995511,0.823256
2019/1/10,1.02,1.01,1,0.995304,1.01,1.01,1,0.733226,0.888647,0.737385
2019/1/11,1.02,1.01,1,1.01,1.01,1.01,1.01,0.730967,0.960102,0.750959
2019/1/12,1.02,1.01,0.9899,0.998601,1.01,1.01,1.02,0.747071,0.971522,0.759598
2019/1/13,1.02,1.01,1,0.988478,1.01,1.01,1.02,0.720264,0.92529,0.736325
2019/1/14,1.02,1.01,1.01,0.984178,1.01,1.01,0.994819,0.754485,1.02,0.766167
2019/1/15,1.02,1.01,1,0.99847,1.01,1.01,1.02,0.749468,0.975465,0.729491
2019/1/16,1.02,1.01,1.01,1.01,1.01,1.01,1.01,0.833333,0.974604,0.773911
2019/1/17,1.02,1.01,1.01,0.998855,1.03,1.01,0.998783,0.863186,0.983208,0.758053
2019/1/18,1.02,1.01,1,0.998402,1.01,1.01,1.01,0.922998,0.984125,0.770218
2019/1/19,1.02,1.01,1.01,0.990138,1.01,1.01,1.01,0.92634,1,0.813881
2019/1/20,1.02,1.02,1.01,0.987056,1.02,1.01,1.01,0.94461,0.95457,0.7781
2019/1/21,1.01,1.01,1.01,0.993425,1.01,1.01,1,0.922238,0.974547,0.773284
2019/1/22,1.01,1.01,1.01,0.99513,1.01,1.01,0.997098,0.948033,0.986393,0.757124
2019/1/23,1.01,1.01,1.01,0.997571,1.01,1.01,1,0.953182,0.959045,0.762943
2019/1/24,1.01,1.01,1.01,0.983548,1.01,1.01,1.01,0.951452,0.975437,0.759349
2019/1/25,1.01,1.01,1.01,0.866399,1.01,1.01,1,0.919217,0.991164,0.753206
2019/1/26,1.01,1.01,1,0.998886,1.01,1.01,1,0.935289,0.986016,0.754457
2019/1/27,1.01,1.01,0.998283,0.993402,1.01,1.01,1.01,0.896495,0.964862,0.747656
2019/1/28,1.01,1.01,1.01,1.03,1.01,1.01,1.01,0.876944,0.933707,0.70079
2019/1/29,1.01,1.01,1,0.996187,1.01,1.01,1.01,0.877485,0.961657,0.730561
2019/1/30,1.01,1.01,1.01,0.991483,1.01,1.01,1.01,0.886661,1,0.734742
2019/1/31,1.01,1.01,1.01,0.991012,1.01,1.01,1,0.839602,0.965016,0.717173
2019/2/1,1.01,1.02,1.01,0.920631,1.02,1.01,1.01,0.848481,0.984388,0.744459
2019/2/2,1,1.01,1.01,0.964457,1.02,1.01,1.02,0.884533,0.995673,0.740963
2019/2/3,1,1.01,1.01,0.991019,1.01,1.01,1,0.90028,0.966917,0.702654
2019/2/4,0.999826,1.01,1,0.992781,1.01,1.01,0.998485,0.892275,0.971078,0.740466
2019/2/5,0.999532,1.01,0.999417,0.978371,1.01,1.01,0.989411,0.864354,0.973307,0.726087
2019/2/6,1,1.01,1.01,0.971572,1.01,1.01,1,0.828376,0.966916,0.695978
2019/2/7,1,1.01,1,0.941536,1.01,1.01,1.01,0.86255,0.974245,0.718842
2019/2/8,1,1.01,1.02,0.973159,1.02,1.01,0.996167,0.890181,1.03,0.773717
2019/2/9,1,1.01,1.01,0.990283,1.01,1.01,1.01,0.895148,0.986797,0.783645
2019/2/10,1,1.02,1.02,1.09,1.01,1.01,1.01,0.924987,0.995981,0.77836
2019/2/11,1,1.01,1.01,0.940564,1.01,1.01,0.999669,0.902396,0.956415,0.768321
2019/2/12,1,1.02,1.02,0.938337,1.02,1.02,1.02,0.904888,0.980722,0.801991
